,statement,label,city,country,correct_country,question,question_with_answer
0,The city of Arbonne-la-Foret is in France.,1,Arbonne-la-Foret,France,France,In which country is the city of Arbonne-la-Foret located?,In which country is the city of Arbonne-la-Foret located? France.
1,The city of Dover is in United States.,1,Dover,United States,United States,In which country is the city of Dover located?,In which country is the city of Dover located? United States.
2,The city of Cuauhtenango is in Mexico.,1,Cuauhtenango,Mexico,Mexico,In which country is the city of Cuauhtenango located?,In which country is the city of Cuauhtenango located? Mexico.
3,The city of Seguelon is in Côte d'Ivoire.,1,Seguelon,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Seguelon located?,In which country is the city of Seguelon located? Côte d'Ivoire.
4,The city of Desloge is in United States.,1,Desloge,United States,United States,In which country is the city of Desloge located?,In which country is the city of Desloge located? United States.
5,The city of Clarence-Rockland is in Canada.,1,Clarence-Rockland,Canada,Canada,In which country is the city of Clarence-Rockland located?,In which country is the city of Clarence-Rockland located? Canada.
6,The city of Bishop is in United States.,1,Bishop,United States,United States,In which country is the city of Bishop located?,In which country is the city of Bishop located? United States.
7,The city of Valley Station is in United States.,1,Valley Station,United States,United States,In which country is the city of Valley Station located?,In which country is the city of Valley Station located? United States.
8,The city of Hartselle is in United States.,1,Hartselle,United States,United States,In which country is the city of Hartselle located?,In which country is the city of Hartselle located? United States.
9,The city of Kristiansund is in Norway.,1,Kristiansund,Norway,Norway,In which country is the city of Kristiansund located?,In which country is the city of Kristiansund located? Norway.
10,The city of Silindru is in Romania.,1,Silindru,Romania,Romania,In which country is the city of Silindru located?,In which country is the city of Silindru located? Romania.
11,The city of Contuboel is in Guinea-Bissau.,1,Contuboel,Guinea-Bissau,Guinea-Bissau,In which country is the city of Contuboel located?,In which country is the city of Contuboel located? Guinea-Bissau.
12,The city of Anahuac is in Mexico.,1,Anahuac,Mexico,Mexico,In which country is the city of Anahuac located?,In which country is the city of Anahuac located? Mexico.
13,The city of Katsdorf is in Austria.,1,Katsdorf,Austria,Austria,In which country is the city of Katsdorf located?,In which country is the city of Katsdorf located? Austria.
14,The city of Pralungo is in Italy.,1,Pralungo,Italy,Italy,In which country is the city of Pralungo located?,In which country is the city of Pralungo located? Italy.
