prompt,answer
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Let V be the set of all real polynomials p(x). Let transformations T, S be defined on V by T:p(x) -> xp(x) and S:p(x) -> p'(x) = d/dx p(x), and interpret (ST)(p(x)) as S(T(p(x))). Which of the following is true?
A. ST = 0
B. ST = T
C. ST = TS
D. ST - TS is the identity map of V onto itself.",D
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
A tank initially contains a salt solution of 3 grams of salt dissolved in 100 liters of water. A salt solution containing 0.02 grams of salt per liter of water is sprayed into the tank at a rate of 4 liters per minute. The sprayed solution is continually mixed with the salt solution in the tank, and the mixture flows out of the tank at a rate of 4 liters per minute. If the mixing is instantaneous, how many grams of salt are in the tank after 100 minutes have elapsed?
A. 2
B. 2 - e^-2
C. 2 + e^-2
D. 2 + e^-4",D
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Let A be a real 2x2 matrix. Which of the following statements must be true?
I. All of the entries of A^2 are nonnegative.
II. The determinant of A^2 is nonnegative.
III. If A has two distinct eigenvalues, then A^2 has two distinct eigenvalues.
A. I only
B. II only
C. III only
D. II and III only",B
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Suppose that f(1 + x) = f(x) for all real x. If f is a polynomial and f(5) = 11, then f(15/2)
A. -11
B. 0
C. 11
D. 33/2",C
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Let A be the set of all ordered pairs of integers (m, n) such that 7m + 12n = 22. What is the greatest negative number in the set B = {m + n : (m, n) \in A}?
A. -5
B. -4
C. -3
D. -2",B
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true?
A. k = 0 and n = 1
B. k = 1 and n = 0
C. k = n = 1
D. k > 1",B
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ?
A. 0
B. 1
C. 2
D. 3",D
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Suppose P is the set of polynomials with coefficients in Z_5 and degree less than or equal to 7. If the operator D sends p(x) in P to its derivative p′(x), what are the dimensions of the null space n and range r of D?
A. n = 1 and r = 6
B. n = 1 and r = 7
C. n = 2 and r = 5
D. n = 2 and r = 6",D
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
The shortest distance from the curve xy = 8 to the origin is
A. 4
B. 8
C. 16
D. 2sqrt(2)",A
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged?
A. 2/69
B. 1/30
C. 2/23
D. 12/125",C
