,statement
0,In which country is the city of Arbonne-la-Foret located?
1,In which country is the city of Dover located?
2,In which country is the city of Cuauhtenango located?
3,In which country is the city of Seguelon located?
4,In which country is the city of Desloge located?
5,In which country is the city of Clarence-Rockland located?
6,In which country is the city of Bishop located?
7,In which country is the city of Valley Station located?
8,In which country is the city of Hartselle located?
9,In which country is the city of Kristiansund located?
10,In which country is the city of Silindru located?
11,In which country is the city of Contuboel located?
12,In which country is the city of Anahuac located?
13,In which country is the city of Katsdorf located?
14,In which country is the city of Pralungo located?
15,In which country is the city of Talkha located?
16,In which country is the city of Bernate Ticino located?
17,In which country is the city of Samatan located?
18,In which country is the city of Ciudad Pemex located?
19,In which country is the city of Karkkila located?
20,In which country is the city of Strizivojna located?
21,In which country is the city of General Campos located?
22,In which country is the city of Stiava located?
23,In which country is the city of Zougban located?
24,In which country is the city of Kalk located?
25,In which country is the city of Buzen located?
26,In which country is the city of Bellprat located?
27,In which country is the city of Barntrup located?
28,In which country is the city of Monticello located?
29,In which country is the city of Aiguees located?
30,In which country is the city of Churchill located?
31,In which country is the city of Ostrowy nad Oksza located?
32,In which country is the city of Oxenford located?
33,In which country is the city of Santa Rosa de Lima located?
34,In which country is the city of Lancara located?
35,In which country is the city of La Villa located?
36,In which country is the city of Glens Falls located?
37,In which country is the city of Hook located?
38,In which country is the city of Sao Paulo de Olivenca located?
39,In which country is the city of Ratingen located?
40,In which country is the city of Dezanovac located?
41,In which country is the city of Gikongoro located?
42,In which country is the city of Marina located?
43,In which country is the city of NevveYamin located?
44,In which country is the city of Redwood Shores located?
45,In which country is the city of Shenandoah Farms located?
46,In which country is the city of Cancello-Arnone located?
47,In which country is the city of Niederdorfelden located?
48,In which country is the city of India Hook located?
49,In which country is the city of Goeda located?
50,In which country is the city of Chinsali located?
51,In which country is the city of Latri Sabiji located?
52,In which country is the city of Ussaramanna located?
53,In which country is the city of Henri-Chapelle located?
54,In which country is the city of Wilsonton located?
55,In which country is the city of Erps-Kwerps located?
56,In which country is the city of Bechtolsheim located?
57,In which country is the city of Picerno located?
58,In which country is the city of Wilczyce located?
59,In which country is the city of Deale located?
60,In which country is the city of Terbanggi Besar located?
61,In which country is the city of Hornitos located?
62,In which country is the city of Conguaco located?
63,In which country is the city of Battlement Mesa located?
64,In which country is the city of Nanterre located?
65,In which country is the city of Bondoyo located?
66,In which country is the city of San Giustino located?
67,In which country is the city of Regoledo located?
68,In which country is the city of Pietracamela located?
69,In which country is the city of Villar de Torre located?
70,In which country is the city of Qutur located?
71,In which country is the city of Foster City located?
72,In which country is the city of Sankt Pantaleon located?
73,In which country is the city of San Felice located?
74,In which country is the city of Vlajkovac located?
75,In which country is the city of Pognano located?
76,In which country is the city of Ribeirao Preto located?
77,In which country is the city of Arnside located?
78,In which country is the city of Lincoln located?
79,In which country is the city of Fauville-en-Caux located?
80,In which country is the city of Theog located?
81,In which country is the city of Cayang located?
82,In which country is the city of Cliffcrest located?
83,In which country is the city of Ferreras de Abajo located?
84,In which country is the city of Hardin located?
85,In which country is the city of Dagotiere located?
86,In which country is the city of Novar Gardens located?
87,In which country is the city of Waddinxveen located?
88,In which country is the city of Luuq located?
89,In which country is the city of Nyiregyhaza located?
90,In which country is the city of Aksu located?
