prompt,answer
In which novel by Charles Dickens do the characters Susan Nipper and Captain Cuttle appear? Dombey and Son.,Dombey and Son
Which former World Heavyweight boxing champion was nicknamed the 'Cinderella Man'? James J. Braddock.,James J. Braddock
What is the collective name of the four holy books of the Hindu religion? Vedas.,Vedas
What was the given Christian name of the fashion designer 'Coco' Chanel? Gabrielle.,Gabrielle
Upon which author's best-selling novel was the film 'Psycho' based? Robert Bloch.,Robert Bloch
Leporello is a principal character in which opera? Don Giovanni.,Don Giovanni
"Which actor, (the eighth Doctor Who) played the role just once in a 1996 TV movie? Paul McGann.",Paul McGann
Who managed England during the 1982 World Cup? Ron Greenwood.,Ron Greenwood
Which English king was married to Philippa of Hainault? Edward III.,Edward III
"Led for 3 days by veteran Tom Watson, who finally won the 2009 Open Golf Championship? Stewart Cink.",Stewart Cink
Which opera contains the famous Anvil Chorus in its second act? Il Trovatore.,Il Trovatore
The Haworth Art Gallery is located in which Lancashire town? Accrington.,Accrington
"Which painter, who reputedly sold only one work in his lifetime, had an art dealer brother called Theo? Vincent van Gogh.",Vincent van Gogh
"Who was the valet of Prince Romiro in Rossini's opera La Cenerentola, also a well-known pantomime character? Dandini.",Dandini
"In the Sikh religion, what name is given to the Holy Book ontaining the teachings of the gurus? The Guru Granth Sahib.",The Guru Granth Sahib
Who was the author of the best-selling novel on which the film The Exorcist was based? William Peter Blatty.,William Peter Blatty
Who is the patron saint of dancers and comedians? St Vitus.,St Vitus
Who starred in the title role of the boxing movie 'The Cinderella Man'? Russell Crowe.,Russell Crowe
In which Dickens novel do the characters Thomas Traddles and James Steerforth appear? David Copperfield.,David Copperfield
Which city was selected in 2009 as the venue for the 2016 Olympic games? Rio de Janeiro.,Rio de Janeiro
"Buried in neither Westminster nor Windsor, where is the tomb of Edward II? Gloucester Cathedral.",Gloucester Cathedral
Savernake Forest is located in which English county? Wiltshire.,Wiltshire
"In the Old Testament, who lived in the land of Uz? Job.",Job
Vivaldi's 'Four Seasons' are 4 concertos for which instrument? Violin.,Violin
'Eleanor Rigby' and 'Yellow Submarine' first appeared on which Beatles album of 1966? Revolver.,Revolver
Who wrote the 2005 bestseller 'The Shadow of the Wind' set in post Spanish Civil War Barcelona? Carlos Ruiz Zafon.,Carlos Ruiz Zafon
"John Adams, 2nd President of the USA, was the delegate to the Continental Congress for which American state? Massachusetts.",Massachusetts
Which was the last country to join the G8 in 1997 (changing the G7 to G8)? Russia.,Russia
Who hosted the 2010 ICC World Twenty20 Tournament? West Indies.,West Indies
The 2009 film 'Nowhere Boy' concerns the teenage years of which singer? John Lennon.,John Lennon
"Which author said 'Probably the Battle of Waterloo was won on the playing fields of Eton, but the opening battles of all subsequent wars have been lost there'? George Orwell.",George Orwell
Which actress is married to Taylor Hackford? Helen Mirren.,Helen Mirren
Who is the TESCO boss who recently announced his intention to retire? Sir Terry Leahy.,Sir Terry Leahy
In Marvel Comics which God is the alter ego of Donald Blake? Thor.,Thor
Who directed the 2004 Oscar winning film 'The Lord of the Rings: The Return of the King'? Peter Jackson.,Peter Jackson
What is the highest number that is a common factor (HCF) of 32 and 48? 16.,16
Rachmaninov's 'Rhapsody on a theme of Paganini' is a work for which solo instrument and orchestra? Piano.,Piano
'Yesterday' and 'Ticket to Ride' first appeared on which Beatles album of 1965? Help!.,Help!
Who wrote the 2006 best seller 'The Book Thief' set in Munich during World War II? Markus Zusak.,Markus Zusak
In Edinburgh what name is given to the streets that link the Castle with Holyrood Palace? The Royal Mile.,The Royal Mile
"Thomas Jefferson, 3rd President of the USA, was the delegate to the Continental Congress for which American state? Virginia.",Virginia
In which country will the 2011 Rugby Union World Cup be held? New Zealand.,New Zealand
The 2009 film `Inglourious Basterds' is set during which conflict? World War II.,World War II
Who is the BP Chief Executive recently quizzed by the US Congress? Tony Hayward.,Tony Hayward
"Beaune, Nuits St George and Chambertin are wines from which French wine region? Burgundy.",Burgundy
In a 2010 film Percy Jackson is the son of which Greek God? Poseidon.,Poseidon
What is the capital of the French region of Brittany? Rennes.,Rennes
Which group from Teignmouth has issued albums 'Black Holes & Revelations' and 'The Resistance' Muse.,Muse
Taraxacum spp is the Latin name for which genus of common wild garden plant? Dandelion.,Dandelion
What colour is the artist's colour called vermillion? Red.,Red
Catherine Morland is a leading character in which novel? Northanger Abbey.,Northanger Abbey
In which city is Da Vinci's Last Supper on display? Milan.,Milan
Which group from Abingdon has issued albums 'Hail to the thief and 'In Rainbows'? Radiohead.,Radiohead
The French Football Ligue 1 team Marseille have which other name in their title? Olympique.,Olympique
