question,answer,filtered_answer,correct_answer,is_correct
What year was Hank Aaron born?,-,-,1934,-
What year was Sani Abacha born?,-,-,1943,-
What year was Claudio Abbado born?,-,-,1933,-
What year was Mahmoud Abbas born?,-,-,1935,-
What year was Omar Abdel Rahman born?,-,-,1938,-
What year was Kareem Abdul-Jabbar born?,-,-,1947,-
What year was Mahmoud Abdul-Rauf born?,-,-,1969,-
What year was King of Jordan Abdullah II born?,-,-,1962,-
What year was Abdullah Abdullah born?,-,-,1960,-
What year was Umar Farouk Abdulmutallab born?,-,-,1986,-
What year was John P Abizaid born?,-,-,1951,-
What year was Spencer Abraham born?,-,-,1952,-
What year was Jack Abramoff born?,-,-,1958,-
What year was Elliott Abrams born?,-,-,1948,-
What year was Floyd Abrams born?,-,-,1936,-
What year was Robert Abrams born?,-,-,1938,-
What year was Jill Abramson born?,-,-,1954,-
What year was Bobby Abreu born?,-,-,1974,-
What year was Mousa Mohammed Abu Marzook born?,-,-,1951,-
What year was Mumia Abu-Jamal born?,-,-,1954,-
What year was Abdulsalam Abubakar born?,-,-,1942,-
What year was Ernie Accorsi born?,-,-,1941,-
What year was Andre Aciman born?,-,-,1951,-
What year was Bruce Ackerman born?,-,-,1943,-
What year was Gary L Ackerman born?,-,-,1942,-
What year was Josef Ackermann born?,-,-,1948,-
What year was Peter Ackroyd born?,-,-,1949,-
What year was Ansel Adams born?,-,-,1902,-
What year was Gerry Adams born?,-,-,1948,-
What year was John Quincy Adams born?,-,-,1767,-
What year was Thomas Ades born?,-,-,1971,-
What year was Freddy Adu born?,-,-,1989,-
What year was Ben Affleck born?,-,-,1972,-
What year was Andre Agassi born?,-,-,1970,-
What year was Benny Agbayani born?,-,-,1971,-
What year was Giovanni Agnelli born?,-,-,1921,-
What year was Spiro T Agnew born?,-,-,1918,-
What year was Bertie Ahern born?,-,-,1951,-
What year was Mahmoud Ahmadinejad born?,-,-,1956,-
What year was Lynn Ahrens born?,-,-,1948,-
What year was Martti Ahtisaari born?,-,-,1937,-
What year was Danny Aiello born?,-,-,1933,-
What year was Troy Aikman born?,-,-,1966,-
What year was Roger E Ailes born?,-,-,1940,-
What year was Alvin Ailey born?,-,-,1931,-
What year was Pierre-Laurent Aimard born?,-,-,1957,-
What year was Askar Akayev born?,-,-,1944,-
What year was Karen Akers born?,-,-,1945,-
What year was Henry Akinwande born?,-,-,1965,-
What year was Roberto Alagna born?,-,-,1963,-
What year was Edward Albee born?,-,-,1928,-
What year was Marv Albert born?,-,-,1941,-
What year was Chris Albrecht born?,-,-,1952,-
What year was Madeleine K Albright born?,-,-,1937,-
What year was Louisa May Alcott born?,-,-,1832,-
What year was Alan Alda born?,-,-,1936,-
What year was Arnoldo Aleman born?,-,-,1946,-
What year was Jane Alexander born?,-,-,1939,-
What year was Jason Alexander born?,-,-,1959,-
What year was Lamar Alexander born?,-,-,1940,-
What year was Sherman Alexie born?,-,-,1966,-
What year was Raul Alfonsin born?,-,-,1927,-
What year was Edgardo Alfonzo born?,-,-,1973,-
What year was Muhammad Ali born?,-,-,1942,-
What year was Samuel A Jr Alito born?,-,-,1950,-
What year was Heydar Aliyev born?,-,-,1923,-
What year was Ayad Allawi born?,-,-,1945,-
What year was Joan Allen born?,-,-,1956,-
What year was Paul Allen born?,-,-,1953,-
What year was Robert E Allen born?,-,-,1935,-
What year was Tim Allen born?,-,-,1953,-
What year was Woody Allen born?,-,-,1935,-
What year was Salvador Allende Gossens born?,-,-,1908,-
What year was Isabel Allende born?,-,-,1942,-
What year was Dorothy Allison born?,-,-,1949,-
What year was Pedro Almodovar born?,-,-,1949,-
What year was Danny Almonte born?,-,-,1987,-
What year was Roberto Alomar born?,-,-,1968,-
What year was Felipe Alou born?,-,-,1935,-
What year was Moises Alou born?,-,-,1966,-
What year was Marin Alsop born?,-,-,1956,-
What year was Eric Alterman born?,-,-,1960,-
What year was Robert Altman born?,-,-,1925,-
What year was Roger C Altman born?,-,-,1946,-
What year was Christiane Amanpour born?,-,-,1958,-
What year was Stephen E Ambrose born?,-,-,1936,-
What year was Gilbert F Amelio born?,-,-,1943,-
What year was Aldrich Hazen Ames born?,-,-,1941,-
What year was Idi Amin born?,-,-,1925,-
What year was Yigal Amir born?,-,-,1970,-
What year was Martin Amis born?,-,-,1949,-
What year was Viswanathan Anand born?,-,-,1969,-
What year was Nina Ananiashvili born?,-,-,1963,-
What year was Hans Christian Andersen born?,-,-,1805,-
What year was Laurie Anderson born?,-,-,1947,-
What year was Michael P Anderson born?,-,-,1959,-
What year was Wes Anderson born?,-,-,1969,-
What year was Tadao Ando born?,-,-,1941,-
What year was Giulio Andreotti born?,-,-,1919,-
What year was Julie Andrews born?,-,-,1935,-
What year was Robert E Andrews born?,-,-,1957,-
What year was Leif Ove Andsnes born?,-,-,1970,-
What year was Marcia Angell born?,-,-,1939,-
What year was Maya Angelou born?,-,-,1928,-
What year was Natalie Angier born?,-,-,1958,-
What year was Jennifer Aniston born?,-,-,1969,-
What year was Kofi Annan born?,-,-,1938,-
What year was Walter H Annenberg born?,-,-,1908,-
What year was Carmelo Anthony born?,-,-,1984,-
What year was Marc Anthony born?,-,-,1968,-
What year was Michelangelo Antonioni born?,-,-,1912,-
What year was Judd Apatow born?,-,-,1967,-
What year was Stuart Appleby born?,-,-,1971,-
What year was Michael Apted born?,-,-,1941,-
What year was Michael Arad born?,-,-,1969,-
What year was Suha Arafat born?,-,-,1963,-
What year was Yasir Arafat born?,-,-,1929,-
What year was Maher Arar born?,-,-,1970,-
What year was Louise Arbour born?,-,-,1947,-
What year was Diane Arbus born?,-,-,1923,-
What year was Jeffrey Archer born?,-,-,1940,-
What year was Bruce Arena born?,-,-,1951,-
What year was Martha Argerich born?,-,-,1941,-
What year was Jean-Bertrand Aristide born?,-,-,1953,-
What year was Alan Arkin born?,-,-,1934,-
What year was Roone Arledge born?,-,-,1931,-
What year was Giorgio Armani born?,-,-,0007,-
What year was Dick Armey born?,-,-,1940,-
What year was Jessie Armstead born?,-,-,1970,-
What year was C Michael Armstrong born?,-,-,1938,-
What year was Lance Armstrong born?,-,-,1971,-
What year was Louis Armstrong born?,-,-,1900,-
What year was Bernard Arnault born?,-,-,1949,-
What year was Peter Arnett born?,-,-,1934,-
What year was Jason Arnott born?,-,-,1974,-
What year was Joseph M Arpaio born?,-,-,1932,-
What year was Gloria Macapagal Arroyo born?,-,-,1947,-
What year was Ron Artest born?,-,-,1979,-
What year was Bob Arum born?,-,-,1931,-
What year was Shoko Asahara born?,-,-,1955,-
What year was John Ashbery born?,-,-,1927,-
What year was John Ashcroft born?,-,-,1942,-
What year was Arthur Ashe born?,-,-,1943,-
What year was Vladimir Ashkenazy born?,-,-,1937,-
What year was Frederick Ashton born?,-,-,1904,-
What year was Eric Asimov born?,-,-,1957,-
What year was Maria Aspan born?,-,-,1982,-
