,Unnamed: 0.1,Unnamed: 0,statement,label,city,country,correct_country,question,question_with_answer,answer,filtered_answer,is_correct
0,0,0,The city of Kostomloty Pierwsze is in Poland.,1,Kostomloty Pierwsze,Poland,Poland,In which country is the city of Kostomloty Pierwsze located?,In which country is the city of Kostomloty Pierwsze located? Poland.,Poland. I finished,Poland,True
1,1,1,The city of Bognankro is in Côte d'Ivoire.,1,Bognankro,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Bognankro located?,In which country is the city of Bognankro located? Côte d'Ivoire.,I don't know. I finished,I don't know,False
2,2,2,The city of Le Raincy is in France.,1,Le Raincy,France,France,In which country is the city of Le Raincy located?,In which country is the city of Le Raincy located? France.,France. I finished,France,True
3,3,3,The city of Tobol is in Kazakhstan.,1,Tobol,Kazakhstan,Kazakhstan,In which country is the city of Tobol located?,In which country is the city of Tobol located? Kazakhstan.,Kazakhstan. I finished,Kazakhstan,True
4,4,4,The city of Tayabas Ibaba is in Philippines.,1,Tayabas Ibaba,Philippines,Philippines,In which country is the city of Tayabas Ibaba located?,In which country is the city of Tayabas Ibaba located? Philippines.,Philippines. I finished,Philippines,True
5,5,5,The city of Prenzlau is in Germany.,1,Prenzlau,Germany,Germany,In which country is the city of Prenzlau located?,In which country is the city of Prenzlau located? Germany.,Germany. I finished,Germany,True
6,6,6,The city of Pir is in Romania.,1,Pir,Romania,Romania,In which country is the city of Pir located?,In which country is the city of Pir located? Romania.,Albania. I finished,Albania,False
7,7,7,The city of Haillicourt is in France.,1,Haillicourt,France,France,In which country is the city of Haillicourt located?,In which country is the city of Haillicourt located? France.,France. I finished,France,True
8,8,8,The city of Hungerford is in United Kingdom.,1,Hungerford,United Kingdom,United Kingdom,In which country is the city of Hungerford located?,In which country is the city of Hungerford located? United Kingdom.,UK. I finished,UK,True
9,9,9,The city of Farkhar is in Afghanistan.,1,Farkhar,Afghanistan,Afghanistan,In which country is the city of Farkhar located?,In which country is the city of Farkhar located? Afghanistan.,Afghanistan. I finished,Afghanistan,True
10,10,10,The city of Emod is in Hungary.,1,Emod,Hungary,Hungary,In which country is the city of Emod located?,In which country is the city of Emod located? Hungary.,I don't know. I finished,I don't know,False
11,11,11,The city of Jimaguayu is in Cuba.,1,Jimaguayu,Cuba,Cuba,In which country is the city of Jimaguayu located?,In which country is the city of Jimaguayu located? Cuba.,Venezuela. I finished,Venezuela,False
12,12,12,The city of Zeregbo is in Côte d'Ivoire.,1,Zeregbo,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Zeregbo located?,In which country is the city of Zeregbo located? Côte d'Ivoire.,I don't know. I finished,I don't know,False
13,13,13,The city of Vassar is in United States.,1,Vassar,United States,United States,In which country is the city of Vassar located?,In which country is the city of Vassar located? United States.,United States. I finished,United States,True
14,14,14,The city of Kuyalnyk is in Ukraine.,1,Kuyalnyk,Ukraine,Ukraine,In which country is the city of Kuyalnyk located?,In which country is the city of Kuyalnyk located? Ukraine.,Ukraine. I finished,Ukraine,True
15,15,15,The city of Fuente de Pedro Naharro is in Spain.,1,Fuente de Pedro Naharro,Spain,Spain,In which country is the city of Fuente de Pedro Naharro located?,In which country is the city of Fuente de Pedro Naharro located? Spain.,Spain. I finished,Spain,True
16,16,16,The city of Morlenbach is in Germany.,1,Morlenbach,Germany,Germany,In which country is the city of Morlenbach located?,In which country is the city of Morlenbach located? Germany.,Germany. I finished,Germany,True
17,17,17,The city of Krouson is in Greece.,1,Krouson,Greece,Greece,In which country is the city of Krouson located?,In which country is the city of Krouson located? Greece.,I don't know. I finished,I don't know,False
18,18,18,The city of Ribatejada is in Spain.,1,Ribatejada,Spain,Spain,In which country is the city of Ribatejada located?,In which country is the city of Ribatejada located? Spain.,Spain. I finished,Spain,True
19,19,19,The city of Santo Domingo Petapa is in Mexico.,1,Santo Domingo Petapa,Mexico,Mexico,In which country is the city of Santo Domingo Petapa located?,In which country is the city of Santo Domingo Petapa located? Mexico.,Guatemala. I finished,Guatemala,False
20,20,20,The city of Triberg is in Germany.,1,Triberg,Germany,Germany,In which country is the city of Triberg located?,In which country is the city of Triberg located? Germany.,Germany. I finished,Germany,True
21,21,21,The city of Goulia is in Côte d'Ivoire.,1,Goulia,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Goulia located?,In which country is the city of Goulia located? Côte d'Ivoire.,I don't know. I finished,I don't know,False
22,22,22,The city of Seglingen is in Switzerland.,1,Seglingen,Switzerland,Switzerland,In which country is the city of Seglingen located?,In which country is the city of Seglingen located? Switzerland.,Germany. I finished,Germany,False
23,23,23,The city of Matawan is in United States.,1,Matawan,United States,United States,In which country is the city of Matawan located?,In which country is the city of Matawan located? United States.,United States. I finished,United States,True
24,24,24,The city of Champlan is in France.,1,Champlan,France,France,In which country is the city of Champlan located?,In which country is the city of Champlan located? France.,France. I finished,France,True
25,25,25,The city of Henfenfeld is in Germany.,1,Henfenfeld,Germany,Germany,In which country is the city of Henfenfeld located?,In which country is the city of Henfenfeld located? Germany.,Germany. I finished,Germany,True
26,26,26,The city of Airole is in Italy.,1,Airole,Italy,Italy,In which country is the city of Airole located?,In which country is the city of Airole located? Italy.,Italy. I finished,Italy,True
27,27,27,The city of Ninghe is in China.,1,Ninghe,China,China,In which country is the city of Ninghe located?,In which country is the city of Ninghe located? China.,China. I finished,China,True
28,28,28,The city of Gangarampur is in India.,1,Gangarampur,India,India,In which country is the city of Gangarampur located?,In which country is the city of Gangarampur located? India.,India. I finished,India,True
29,29,29,The city of Ceceluibo is in Côte d'Ivoire.,1,Ceceluibo,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Ceceluibo located?,In which country is the city of Ceceluibo located? Côte d'Ivoire.,I don't know. I finished,I don't know,False
30,30,30,The city of Pleven is in Bulgaria.,1,Pleven,Bulgaria,Bulgaria,In which country is the city of Pleven located?,In which country is the city of Pleven located? Bulgaria.,Bulgaria. I finished,Bulgaria,True
31,31,31,The city of Meira is in Spain.,1,Meira,Spain,Spain,In which country is the city of Meira located?,In which country is the city of Meira located? Spain.,Portugal. I finished,Portugal,False
32,32,32,The city of Ottensoos is in Germany.,1,Ottensoos,Germany,Germany,In which country is the city of Ottensoos located?,In which country is the city of Ottensoos located? Germany.,Germany. I finished,Germany,True
33,33,33,"The city of sedeyen-e Yek is in Iran, Islamic Rep. of.",1,sedeyen-e Yek,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",In which country is the city of sedeyen-e Yek located?,"In which country is the city of sedeyen-e Yek located? Iran, Islamic Rep. of.",Iran. I finished,Iran,True
34,34,34,The city of Hindisheim is in France.,1,Hindisheim,France,France,In which country is the city of Hindisheim located?,In which country is the city of Hindisheim located? France.,France. I finished,France,True
35,35,35,The city of Malville is in France.,1,Malville,France,France,In which country is the city of Malville located?,In which country is the city of Malville located? France.,France. I finished,France,True
36,36,36,"The city of Barah is in Sudan, The Republic of.",1,Barah,"Sudan, The Republic of","Sudan, The Republic of",In which country is the city of Barah located?,"In which country is the city of Barah located? Sudan, The Republic of.",India. I finished,India,False
37,37,37,The city of Livingston Manor is in United States.,1,Livingston Manor,United States,United States,In which country is the city of Livingston Manor located?,In which country is the city of Livingston Manor located? United States.,United States. I finished,United States,True
38,38,38,The city of Przecieszyn is in Poland.,1,Przecieszyn,Poland,Poland,In which country is the city of Przecieszyn located?,In which country is the city of Przecieszyn located? Poland.,Poland. I finished,Poland,True
