,statement
0,In which country is the city of Kostomloty Pierwsze located?
1,In which country is the city of Bognankro located?
2,In which country is the city of Le Raincy located?
3,In which country is the city of Tobol located?
4,In which country is the city of Tayabas Ibaba located?
5,In which country is the city of Prenzlau located?
6,In which country is the city of Pir located?
7,In which country is the city of Haillicourt located?
8,In which country is the city of Hungerford located?
9,In which country is the city of Farkhar located?
10,In which country is the city of Emod located?
11,In which country is the city of Jimaguayu located?
12,In which country is the city of Zeregbo located?
13,In which country is the city of Vassar located?
14,In which country is the city of Kuyalnyk located?
15,In which country is the city of Fuente de Pedro Naharro located?
16,In which country is the city of Morlenbach located?
17,In which country is the city of Krouson located?
18,In which country is the city of Ribatejada located?
19,In which country is the city of Santo Domingo Petapa located?
20,In which country is the city of Triberg located?
21,In which country is the city of Goulia located?
22,In which country is the city of Seglingen located?
23,In which country is the city of Matawan located?
24,In which country is the city of Champlan located?
25,In which country is the city of Henfenfeld located?
26,In which country is the city of Airole located?
27,In which country is the city of Ninghe located?
28,In which country is the city of Gangarampur located?
29,In which country is the city of Ceceluibo located?
30,In which country is the city of Pleven located?
31,In which country is the city of Meira located?
32,In which country is the city of Ottensoos located?
33,In which country is the city of sedeyen-e Yek located?
34,In which country is the city of Hindisheim located?
35,In which country is the city of Malville located?
36,In which country is the city of Barah located?
37,In which country is the city of Livingston Manor located?
38,In which country is the city of Przecieszyn located?
39,In which country is the city of Diahouin located?
40,In which country is the city of Gilly-sur-Isere located?
41,In which country is the city of Osan located?
42,In which country is the city of Itaguacu located?
43,In which country is the city of Podgorodnyaya Pokrovka located?
44,In which country is the city of Costestii din Vale located?
45,In which country is the city of Drajna de Sus located?
46,In which country is the city of Arc-sur-Tille located?
47,In which country is the city of Boimorto located?
48,In which country is the city of Vallelonga located?
49,In which country is the city of Warana located?
50,In which country is the city of Al Hasaheisa located?
51,In which country is the city of Tulillos de Abajo located?
52,In which country is the city of Hoyos del Collado located?
53,In which country is the city of Lake Arthur located?
54,In which country is the city of Budenovetc located?
55,In which country is the city of San Rafael Tlanalapan located?
56,In which country is the city of Knaphill located?
57,In which country is the city of Mansura located?
58,In which country is the city of Haggenschwil located?
59,In which country is the city of Ostrov u Macochy located?
60,In which country is the city of Dolavon located?
61,In which country is the city of Suaqui Grande located?
62,In which country is the city of Gerzen located?
63,In which country is the city of Agueda located?
64,In which country is the city of Laigneville located?
65,In which country is the city of Loanda located?
66,In which country is the city of Al Judayyidah located?
67,In which country is the city of Suket located?
68,In which country is the city of Hipstedt located?
69,In which country is the city of Surrey Downs located?
70,In which country is the city of Santa Maria del Tule located?
71,In which country is the city of Tsuyama located?
72,In which country is the city of Kyllburg located?
73,In which country is the city of Mathangwane located?
74,In which country is the city of Achotal de Moreno located?
75,In which country is the city of Umm Qasr located?
76,In which country is the city of Berriane located?
77,In which country is the city of Friockheim located?
78,In which country is the city of Borowa located?
79,In which country is the city of Hoemul-li located?
80,In which country is the city of UEnye located?
81,In which country is the city of Murazzano located?
82,In which country is the city of Pellworm located?
83,In which country is the city of Seleho located?
84,In which country is the city of Bergasa located?
85,In which country is the city of Ngunnawal located?
86,In which country is the city of Taktaharkany located?
87,In which country is the city of Pyhaeselkae located?
88,In which country is the city of Tarsia located?
89,In which country is the city of Civens located?
90,In which country is the city of Vegacervera located?
91,In which country is the city of Saint-Maximin-la-Sainte-Baume located?
92,In which country is the city of Belomorsk located?
93,In which country is the city of Kenzingen located?
94,In which country is the city of Al Badhan located?
95,In which country is the city of Ondarroa located?
96,In which country is the city of Sedlec located?
97,In which country is the city of Zacango located?
98,In which country is the city of Borgetto located?
99,In which country is the city of Huermeces located?
100,In which country is the city of Scharbeutz located?
101,In which country is the city of West Kingsdown located?
102,In which country is the city of Chiroqchi located?
103,In which country is the city of Grand Centre located?
104,In which country is the city of Waldoboro located?
105,In which country is the city of Yungar located?
106,In which country is the city of Quang Ngai located?
107,In which country is the city of Zawidow located?
108,In which country is the city of Iowa City located?
109,In which country is the city of Tanakpur located?
110,In which country is the city of Hahnichen located?
111,In which country is the city of Petrola located?
112,In which country is the city of Vellereille-les-Brayeux located?
113,In which country is the city of Bad Elster located?
114,In which country is the city of Inioe located?
115,In which country is the city of Churubusco located?
116,In which country is the city of Ribeirao Bonito located?
117,In which country is the city of Grafrath located?
118,In which country is the city of Frostburg located?
119,In which country is the city of Yavatmal located?
120,In which country is the city of Escanaba located?
121,In which country is the city of Oketo located?
122,In which country is the city of Bagni di Lucca located?
123,In which country is the city of Stansstad located?
124,In which country is the city of Perdoes located?
125,In which country is the city of Konokovo located?
126,In which country is the city of Merlara located?
127,In which country is the city of Ures located?
128,In which country is the city of Azun Atme located?
129,In which country is the city of Zons located?
130,In which country is the city of Darling Heights located?
131,In which country is the city of Koper located?
132,In which country is the city of Quamila located?
133,In which country is the city of Messimy located?
134,In which country is the city of Munnar located?
135,In which country is the city of Maella located?
136,In which country is the city of Pino d'Asti located?
137,In which country is the city of Woodberry located?
138,In which country is the city of Ziesar located?
139,In which country is the city of Sterlibashevo located?
140,In which country is the city of Bitkine located?
141,In which country is the city of Coonamble located?
142,In which country is the city of South Norwood located?
143,In which country is the city of Cserszegtomaj located?
144,In which country is the city of Estrella de Belen located?
145,In which country is the city of Huttlingen located?
146,In which country is the city of Banjul located?
147,In which country is the city of Burgschwalbach located?
148,In which country is the city of Running Springs located?
149,In which country is the city of Wisselaar located?
150,In which country is the city of Bhadrapur located?
151,In which country is the city of Adaseni located?
152,In which country is the city of Valday located?
153,In which country is the city of Terra Mar located?
154,In which country is the city of Damigny located?
155,In which country is the city of Walzenhausen located?
156,In which country is the city of Chora Sfakion located?
157,In which country is the city of Pemberwick located?
158,In which country is the city of Tacurong located?
159,In which country is the city of Saint-Fiacre-sur-Maine located?
160,In which country is the city of Apaxtla de Castrejon located?
161,In which country is the city of Vary located?
162,In which country is the city of Mouvaux located?
163,In which country is the city of San Martin de Bolanos located?
164,In which country is the city of Howden located?
165,In which country is the city of Kurunegala located?
166,In which country is the city of Val-des-Monts located?
167,In which country is the city of Ucea de Jos located?
168,In which country is the city of Monte Aprazivel located?
169,In which country is the city of Ledbetter located?
170,In which country is the city of Calcot located?
171,In which country is the city of Leki located?
172,In which country is the city of Cazaji located?
173,In which country is the city of Camarillo located?
174,In which country is the city of Rahatgarh located?
175,In which country is the city of Reshetikha located?
176,In which country is the city of Soyatlan de Afuera located?
177,In which country is the city of Horseshoe Bay located?
178,In which country is the city of Old Harlow located?
179,In which country is the city of Putlod located?
180,In which country is the city of Orbita located?
181,In which country is the city of Quadri located?
182,In which country is the city of Vallehermosa located?
183,In which country is the city of Okoa located?
184,In which country is the city of Campo la Arrocera located?
185,In which country is the city of Pauca located?
186,In which country is the city of Sangiano located?
187,In which country is the city of Mbia located?
188,In which country is the city of Ano Liosia located?
189,In which country is the city of Oliva de Merida located?
190,In which country is the city of Sainte-Helene-sur-Isere located?
191,In which country is the city of Livno located?
192,In which country is the city of Ratanpur located?
193,In which country is the city of Jadranska Lesnica located?
194,In which country is the city of Chalampe located?
195,In which country is the city of San Rafael La Independencia located?
196,In which country is the city of Darya Khan located?
197,In which country is the city of Campo Ramon located?
198,In which country is the city of Hammam Bou Hadjar located?
199,In which country is the city of Amalner located?
200,In which country is the city of Bayonet Point located?
201,In which country is the city of Wynau located?
202,In which country is the city of Adstock located?
203,In which country is the city of Ash Shihaniyah located?
204,In which country is the city of Oostham located?
205,In which country is the city of Poilly-lez-Gien located?
206,In which country is the city of Tereze located?
207,In which country is the city of Yany Kapu located?
208,In which country is the city of Bagalangit located?
209,In which country is the city of Bourlon located?
210,In which country is the city of Cradock located?
211,In which country is the city of Maennedorf located?
212,In which country is the city of Boqueirao located?
213,In which country is the city of Akkent located?
214,In which country is the city of San Pedro Ocotepec located?
215,In which country is the city of Rego Park located?
216,In which country is the city of Chimore located?
217,In which country is the city of Lurugan located?
218,In which country is the city of Bengbu located?
219,In which country is the city of The Belcher's located?
220,In which country is the city of 'Uzeir located?
221,In which country is the city of Seulingen located?
222,In which country is the city of Abapo Viejo located?
223,In which country is the city of Altenberg located?
224,In which country is the city of San Mamete located?
225,In which country is the city of Apo located?
226,In which country is the city of Losne located?
227,In which country is the city of Giv'at Hayyim Ihud located?
228,In which country is the city of Ambleve located?
229,In which country is the city of Cannalonga located?
230,In which country is the city of Lyantonde located?
231,In which country is the city of Gamprin located?
232,In which country is the city of Minonk located?
233,In which country is the city of Riestedt located?
234,In which country is the city of Vanceburg located?
235,In which country is the city of Gaptsakh located?
236,In which country is the city of General Enrique Godoy located?
237,In which country is the city of Neuhaus am Klausenbach located?
238,In which country is the city of Heuerssen located?
239,In which country is the city of Poznan located?
240,In which country is the city of Zachenberg located?
241,In which country is the city of Bagnolo Cremasco located?
242,In which country is the city of Stayton located?
243,In which country is the city of Schonthal located?
244,In which country is the city of Campocavallo located?
245,In which country is the city of Tambillo located?
246,In which country is the city of Foieni located?
247,In which country is the city of Bellevaux-Ligneuville located?
248,In which country is the city of Polysayevo located?
249,In which country is the city of La Turbie located?
250,In which country is the city of Cidreag located?
251,In which country is the city of Lorentzweiler located?
252,In which country is the city of Kolongonoua located?
253,In which country is the city of Andajes located?
