model_id_train,dataset_id_train,prompt_id_train,subset_id_train,input_type_train,model_id_test,dataset_id_test,prompt_id_test,subset_id_test,input_type_test,layer,fold,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_False__classifier_cut_zero__classifier_cut,direction__center_from_origin_False__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_zero__test_roc_auc,direction__center_from_origin_False__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__train_f1_score,direction__center_from_origin_False__classifier_cut_zero__test_f1_score,direction__center_from_origin_False__classifier_cut_zero__train_precision_score,direction__center_from_origin_False__classifier_cut_zero__test_precision_score,direction__center_from_origin_False__classifier_cut_zero__train_recall_score,direction__center_from_origin_False__classifier_cut_zero__test_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_True__classifier_cut_zero__classifier_cut,direction__center_from_origin_True__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_zero__test_roc_auc,direction__center_from_origin_True__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__train_f1_score,direction__center_from_origin_True__classifier_cut_zero__test_f1_score,direction__center_from_origin_True__classifier_cut_zero__train_precision_score,direction__center_from_origin_True__classifier_cut_zero__test_precision_score,direction__center_from_origin_True__classifier_cut_zero__train_recall_score,direction__center_from_origin_True__classifier_cut_zero__test_recall_score
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,14,0,-0.0950782299041748,-0.0950782299041748,0.8737333333333334,0.7951334379905809,0.7933333333333333,0.8021228203184231,0.802547770700637,0.7756598240469208,0.7682926829268293,0.8304552590266876,0.84,0.0,-0.0950782299041748,0.8737333333333334,0.7880690737833596,0.7933333333333333,0.7887323943661971,0.7947019867549668,0.7862714508580343,0.7894736842105263,0.7912087912087912,0.8,0.0185578353703022,0.0185578353703022,0.8737333333333334,0.7951334379905809,0.7933333333333333,0.8021228203184231,0.802547770700637,0.7756598240469208,0.7682926829268293,0.8304552590266876,0.84,0.0,0.0185578353703022,0.8737333333333334,0.7912087912087912,0.7933333333333333,0.8,0.802547770700637,0.7676767676767676,0.7682926829268293,0.8351648351648352,0.84
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,14,1,-0.0012299194931983948,-0.0012299194931983948,0.8693723235986267,0.799520766773163,0.8012422360248447,0.8018942383583267,0.8012422360248447,0.7925117004680188,0.8012422360248447,0.8115015974440895,0.8012422360248447,0.0,-0.0012299194931983948,0.8693723235986267,0.7987220447284346,0.8012422360248447,0.8009478672985783,0.8012422360248447,0.7921875,0.8012422360248447,0.8099041533546326,0.8012422360248447,0.05197024345397949,0.05197024345397949,0.8693723235986267,0.799520766773163,0.8012422360248447,0.8018942383583267,0.8012422360248447,0.7925117004680188,0.8012422360248447,0.8115015974440895,0.8012422360248447,0.0,0.05197024345397949,0.8693723235986267,0.7955271565495208,0.8043478260869565,0.8012422360248447,0.8061538461538461,0.7794561933534743,0.7987804878048781,0.8242811501597445,0.8136645962732919
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,14,2,-0.022694800049066544,-0.022694800049066544,0.8709961367304024,0.8027950310559007,0.7867132867132867,0.8055130168453293,0.7889273356401384,0.7945619335347432,0.7808219178082192,0.8167701863354038,0.7972027972027972,0.0,-0.022694800049066544,0.8709961367304024,0.7981366459627329,0.7797202797202797,0.7993827160493827,0.7804878048780488,0.7944785276073619,0.7777777777777778,0.8043478260869565,0.7832167832167832,0.028073839843273163,0.028073839843273163,0.8709961367304024,0.8027950310559007,0.7867132867132867,0.8055130168453293,0.7889273356401384,0.7945619335347432,0.7808219178082192,0.8167701863354038,0.7972027972027972,0.0,0.028073839843273163,0.8709961367304024,0.8004658385093167,0.7902097902097902,0.8051554207733131,0.7945205479452054,0.7866666666666666,0.7785234899328859,0.8245341614906833,0.8111888111888111
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,14,3,-0.03528591990470886,-0.03528591990470886,0.863817275628384,0.8008064516129032,0.7784431137724551,0.8053585500394012,0.7810650887573964,0.7873651771956857,0.7719298245614035,0.8241935483870968,0.7904191616766467,0.0,-0.03528591990470886,0.863817275628384,0.7951612903225806,0.7874251497005988,0.7977707006369427,0.7880597014925373,0.7877358490566038,0.7857142857142857,0.8080645161290323,0.7904191616766467,-0.009150318801403046,-0.009150318801403046,0.863817275628384,0.8008064516129032,0.7784431137724551,0.8053585500394012,0.7810650887573964,0.7873651771956857,0.7719298245614035,0.8241935483870968,0.7904191616766467,0.0,-0.009150318801403046,0.863817275628384,0.7975806451612903,0.7784431137724551,0.8015810276679842,0.7810650887573964,0.786046511627907,0.7719298245614035,0.817741935483871,0.7904191616766467
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,14,4,-0.005580543540418148,-0.005580543540418148,0.8668166642473508,0.8003220611916264,0.7951807228915663,0.802547770700637,0.7976190476190477,0.7937007874015748,0.788235294117647,0.8115942028985508,0.8072289156626506,0.0,-0.005580543540418148,0.8668166642473508,0.7979066022544283,0.7951807228915663,0.7996807661612131,0.7976190476190477,0.7927215189873418,0.788235294117647,0.8067632850241546,0.8072289156626506,0.03813241422176361,0.03813241422176361,0.8668166642473508,0.8003220611916264,0.7951807228915663,0.802547770700637,0.7976190476190477,0.7937007874015748,0.788235294117647,0.8115942028985508,0.8072289156626506,0.0,0.03813241422176361,0.8668166642473508,0.7995169082125604,0.7981927710843374,0.8040912667191188,0.8035190615835777,0.7861538461538462,0.7828571428571428,0.822866344605475,0.8253012048192772
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,cities_10k,base,main,prompt_only,14,0,-0.0950782299041748,-0.0950782299041748,0.738247813843911,0.7951334379905809,0.6544461778471139,0.8021228203184231,0.5618199802176064,0.7756598240469208,0.7675675675675676,0.8304552590266876,0.44305772230889234,0.0,-0.0950782299041748,0.738247813843911,0.7880690737833596,0.641965678627145,0.7887323943661971,0.5142857142857142,0.7862714508580343,0.7993421052631579,0.7912087912087912,0.3790951638065523,0.0185578353703022,0.0185578353703022,0.738247813843911,0.7951334379905809,0.6544461778471139,0.8021228203184231,0.5618199802176064,0.7756598240469208,0.7675675675675676,0.8304552590266876,0.44305772230889234,0.0,0.0185578353703022,0.738247813843911,0.7912087912087912,0.656786271450858,0.8,0.571150097465887,0.7676767676767676,0.7610389610389611,0.8351648351648352,0.45709828393135726
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,cities_10k,base,main,prompt_only,14,1,-0.0012299194931983948,-0.0012299194931983948,0.6988609264091126,0.799520766773163,0.613914373088685,0.8018942383583267,0.48311156601842375,0.7925117004680188,0.7306501547987616,0.8115015974440895,0.36085626911314983,0.0,-0.0012299194931983948,0.6988609264091126,0.7987220447284346,0.6131498470948012,0.8009478672985783,0.48155737704918034,0.7921875,0.7298136645962733,0.8099041533546326,0.35932721712538224,0.05197024345397949,0.05197024345397949,0.6988609264091126,0.799520766773163,0.613914373088685,0.8018942383583267,0.48311156601842375,0.7925117004680188,0.7306501547987616,0.8115015974440895,0.36085626911314983,0.0,0.05197024345397949,0.6988609264091126,0.7955271565495208,0.6223241590214067,0.8012422360248447,0.5213178294573644,0.7794561933534743,0.7116402116402116,0.8242811501597445,0.41131498470948014
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,cities_10k,base,main,prompt_only,14,2,-0.022694800049066544,-0.022694800049066544,0.7343236300549225,0.8027950310559007,0.6354489164086687,0.8055130168453293,0.5149330587023687,0.7945619335347432,0.7692307692307693,0.8167701863354038,0.38699690402476783,0.0,-0.022694800049066544,0.7343236300549225,0.7981366459627329,0.6323529411764706,0.7993827160493827,0.5026178010471204,0.7944785276073619,0.7766990291262136,0.8043478260869565,0.3715170278637771,0.028073839843273163,0.028073839843273163,0.7343236300549225,0.8027950310559007,0.6354489164086687,0.8055130168453293,0.5149330587023687,0.7945619335347432,0.7692307692307693,0.8167701863354038,0.38699690402476783,0.0,0.028073839843273163,0.7343236300549225,0.8004658385093167,0.6424148606811145,0.8051554207733131,0.5342741935483871,0.7866666666666666,0.7658959537572254,0.8245341614906833,0.4102167182662539
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,cities_10k,base,main,prompt_only,14,3,-0.03528591990470886,-0.03528591990470886,0.7059670529743356,0.8008064516129032,0.6235207100591716,0.8053585500394012,0.5072604065827686,0.7873651771956857,0.7338935574229691,0.8241935483870968,0.3875739644970414,0.0,-0.03528591990470886,0.7059670529743356,0.7951612903225806,0.617603550295858,0.7977707006369427,0.4886251236399604,0.7877358490566038,0.7373134328358208,0.8080645161290323,0.36538461538461536,-0.009150318801403046,-0.009150318801403046,0.7059648646756066,0.8008064516129032,0.6235207100591716,0.8053585500394012,0.5072604065827686,0.7873651771956857,0.7338935574229691,0.8241935483870968,0.3875739644970414,0.0,-0.009150318801403046,0.7059648646756066,0.7975806451612903,0.6190828402366864,0.8015810276679842,0.4975609756097561,0.786046511627907,0.7306590257879656,0.817741935483871,0.3772189349112426
llama3.1_8b_chat,birth_years_4k,base,main,prompt_only,llama3.1_8b_chat,cities_10k,base,main,prompt_only,14,4,-0.005580543540418148,-0.005580543540418148,0.713489898170311,0.8003220611916264,0.6146496815286624,0.802547770700637,0.4634146341463415,0.7937007874015748,0.7627737226277372,0.8115942028985508,0.3328025477707006,0.0,-0.005580543540418148,0.713489898170311,0.7979066022544283,0.6154458598726115,0.7996807661612131,0.46153846153846156,0.7927215189873418,0.7695167286245354,0.8067632850241546,0.32961783439490444,0.03813241422176361,0.03813241422176361,0.713489898170311,0.8003220611916264,0.6146496815286624,0.802547770700637,0.4634146341463415,0.7937007874015748,0.7627737226277372,0.8115942028985508,0.3328025477707006,0.0,0.03813241422176361,0.713489898170311,0.7995169082125604,0.6265923566878981,0.8040912667191188,0.49624060150375937,0.7861538461538462,0.7623762376237624,0.822866344605475,0.3678343949044586
