,statement,label,city,country,correct_country,question,question_with_answer
0,The city of Kostomloty Pierwsze is in Poland.,1,Kostomloty Pierwsze,Poland,Poland,In which country is the city of Kostomloty Pierwsze located?,In which country is the city of Kostomloty Pierwsze located? Poland.
1,The city of Bognankro is in Côte d'Ivoire.,1,Bognankro,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Bognankro located?,In which country is the city of Bognankro located? Côte d'Ivoire.
2,The city of Le Raincy is in France.,1,Le Raincy,France,France,In which country is the city of Le Raincy located?,In which country is the city of Le Raincy located? France.
3,The city of Tobol is in Kazakhstan.,1,Tobol,Kazakhstan,Kazakhstan,In which country is the city of Tobol located?,In which country is the city of Tobol located? Kazakhstan.
4,The city of Tayabas Ibaba is in Philippines.,1,Tayabas Ibaba,Philippines,Philippines,In which country is the city of Tayabas Ibaba located?,In which country is the city of Tayabas Ibaba located? Philippines.
5,The city of Prenzlau is in Germany.,1,Prenzlau,Germany,Germany,In which country is the city of Prenzlau located?,In which country is the city of Prenzlau located? Germany.
6,The city of Pir is in Romania.,1,Pir,Romania,Romania,In which country is the city of Pir located?,In which country is the city of Pir located? Romania.
7,The city of Haillicourt is in France.,1,Haillicourt,France,France,In which country is the city of Haillicourt located?,In which country is the city of Haillicourt located? France.
8,The city of Hungerford is in United Kingdom.,1,Hungerford,United Kingdom,United Kingdom,In which country is the city of Hungerford located?,In which country is the city of Hungerford located? United Kingdom.
9,The city of Farkhar is in Afghanistan.,1,Farkhar,Afghanistan,Afghanistan,In which country is the city of Farkhar located?,In which country is the city of Farkhar located? Afghanistan.
10,The city of Emod is in Hungary.,1,Emod,Hungary,Hungary,In which country is the city of Emod located?,In which country is the city of Emod located? Hungary.
11,The city of Jimaguayu is in Cuba.,1,Jimaguayu,Cuba,Cuba,In which country is the city of Jimaguayu located?,In which country is the city of Jimaguayu located? Cuba.
12,The city of Zeregbo is in Côte d'Ivoire.,1,Zeregbo,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Zeregbo located?,In which country is the city of Zeregbo located? Côte d'Ivoire.
13,The city of Vassar is in United States.,1,Vassar,United States,United States,In which country is the city of Vassar located?,In which country is the city of Vassar located? United States.
14,The city of Kuyalnyk is in Ukraine.,1,Kuyalnyk,Ukraine,Ukraine,In which country is the city of Kuyalnyk located?,In which country is the city of Kuyalnyk located? Ukraine.
15,The city of Fuente de Pedro Naharro is in Spain.,1,Fuente de Pedro Naharro,Spain,Spain,In which country is the city of Fuente de Pedro Naharro located?,In which country is the city of Fuente de Pedro Naharro located? Spain.
16,The city of Morlenbach is in Germany.,1,Morlenbach,Germany,Germany,In which country is the city of Morlenbach located?,In which country is the city of Morlenbach located? Germany.
