question,answer,filtered_answer,correct_answer,is_correct
Which team finished in position 1 in the 2010-2011 Premier League?,Manchester United.<|eot_id|>,Manchester United,Manchester Utd,True
Which team finished in position 2 in the 2010-2011 Premier League?,Manchester United.<|eot_id|>,Manchester United,Chelsea,False
Which team finished in position 3 in the 2010-2011 Premier League?,Manchester.<|eot_id|>,Manchester,Manchester City,False
Which team finished in position 4 in the 2010-2011 Premier League?,Tottenham.<|eot_id|>,Tottenham,Arsenal,False
Which team finished in position 5 in the 2010-2011 Premier League?,Tottenham.<|eot_id|>,Tottenham,Tottenham,True
Which team finished in position 6 in the 2010-2011 Premier League?,Tottenham.<|eot_id|>,Tottenham,Liverpool,False
Which team finished in position 7 in the 2010-2011 Premier League?,Blackpool.<|eot_id|>,Blackpool,Everton,False
Which team finished in position 8 in the 2010-2011 Premier League?,Liverpool.<|eot_id|>,Liverpool,Fulham,False
Which team finished in position 9 in the 2010-2011 Premier League?,West Bromwich Albion.<|eot_id|>,West Bromwich Albion,Aston Villa,False
Which team finished in position 10 in the 2010-2011 Premier League?,Sunderland.<|eot_id|>,Sunderland,Sunderland,True
Which team finished in position 11 in the 2010-2011 Premier League?,West Bromwich Albion.<|eot_id|>,West Bromwich Albion,West Brom,True
Which team finished in position 12 in the 2010-2011 Premier League?,West Bromwich Albion.<|eot_id|>,West Bromwich Albion,Newcastle Utd,False
Which team finished in position 13 in the 2010-2011 Premier League?,West Bromwich Albion.<|eot_id|>,West Bromwich Albion,Stoke City,False
Which team finished in position 14 in the 2010-2011 Premier League?,West Bromwich Albion.<|eot_id|>,West Bromwich Albion,Bolton,False
Which team finished in position 15 in the 2010-2011 Premier League?,West Bromwich Albion.<|eot_id|>,West Bromwich Albion,Blackburn,False
Which team finished in position 16 in the 2010-2011 Premier League?,West Ham.<|eot_id|>,West Ham,Wigan Athletic,False
Which team finished in position 17 in the 2010-2011 Premier League?,West Ham.<|eot_id|>,West Ham,Wolves,False
Which team finished in position 18 in the 2010-2011 Premier League?,West Ham.<|eot_id|>,West Ham,Birmingham City,False
Which team finished in position 19 in the 2010-2011 Premier League?,West Ham.<|eot_id|>,West Ham,Blackpool,False
Which team finished in position 20 in the 2010-2011 Premier League?,West Ham.<|eot_id|>,West Ham,West Ham,True
Which team finished in position 1 in the 2011-2012 Premier League?,Manchester City.<|eot_id|>,Manchester City,Manchester City,True
