question,answer,filtered_answer,correct_answer,is_correct
In which country is the city of Kostomloty Pierwsze located?,Poland. I finished,Poland,Poland,True
In which country is the city of Bognankro located?,I don't know. I finished,I don't know,Côte d'Ivoire,False
In which country is the city of Le Raincy located?,France. I finished,France,France,True
In which country is the city of Tobol located?,Kazakhstan. I finished,Kazakhstan,Kazakhstan,True
In which country is the city of Tayabas Ibaba located?,Philippines. I finished,Philippines,Philippines,True
In which country is the city of Prenzlau located?,Germany. I finished,Germany,Germany,True
In which country is the city of Pir located?,Albania. I finished,Albania,Romania,False
In which country is the city of Haillicourt located?,France. I finished,France,France,True
In which country is the city of Hungerford located?,UK. I finished,UK,United Kingdom,True
In which country is the city of Farkhar located?,Afghanistan. I finished,Afghanistan,Afghanistan,True
In which country is the city of Emod located?,I don't know. I finished,I don't know,Hungary,False
In which country is the city of Jimaguayu located?,Venezuela. I finished,Venezuela,Cuba,False
In which country is the city of Zeregbo located?,I don't know. I finished,I don't know,Côte d'Ivoire,False
In which country is the city of Vassar located?,United States. I finished,United States,United States,True
In which country is the city of Kuyalnyk located?,Ukraine. I finished,Ukraine,Ukraine,True
In which country is the city of Fuente de Pedro Naharro located?,Spain. I finished,Spain,Spain,True
In which country is the city of Morlenbach located?,Germany. I finished,Germany,Germany,True
In which country is the city of Krouson located?,I don't know. I finished,I don't know,Greece,False
In which country is the city of Ribatejada located?,Spain. I finished,Spain,Spain,True
In which country is the city of Santo Domingo Petapa located?,Guatemala. I finished,Guatemala,Mexico,False
In which country is the city of Triberg located?,Germany. I finished,Germany,Germany,True
In which country is the city of Goulia located?,I don't know. I finished,I don't know,Côte d'Ivoire,False
In which country is the city of Seglingen located?,Germany. I finished,Germany,Switzerland,False
In which country is the city of Matawan located?,United States. I finished,United States,United States,True
In which country is the city of Champlan located?,France. I finished,France,France,True
In which country is the city of Henfenfeld located?,Germany. I finished,Germany,Germany,True
In which country is the city of Airole located?,Italy. I finished,Italy,Italy,True
In which country is the city of Ninghe located?,China. I finished,China,China,True
In which country is the city of Gangarampur located?,India. I finished,India,India,True
In which country is the city of Ceceluibo located?,I don't know. I finished,I don't know,Côte d'Ivoire,False
In which country is the city of Pleven located?,Bulgaria. I finished,Bulgaria,Bulgaria,True
In which country is the city of Meira located?,Portugal. I finished,Portugal,Spain,False
In which country is the city of Ottensoos located?,Germany. I finished,Germany,Germany,True
In which country is the city of sedeyen-e Yek located?,Iran. I finished,Iran,"Iran, Islamic Rep. of",True
In which country is the city of Hindisheim located?,France. I finished,France,France,True
In which country is the city of Malville located?,France. I finished,France,France,True
In which country is the city of Barah located?,India. I finished,India,"Sudan, The Republic of",False
In which country is the city of Livingston Manor located?,United States. I finished,United States,United States,True
