question,answer,filtered_answer,correct_answer,is_correct
Which country won gold in Gymnastics Men's Team All-Around in the 1948 Summer Olympics?,-,-,Finland,-
Which country won gold in Gymnastics Men's Horse Vault in the 1948 Summer Olympics?,-,-,Finland,-
Which country won gold in Gymnastics Men's Pommelled Horse in the 1948 Summer Olympics?,-,-,Finland,-
Which country won gold in Handball Women's Handball in the 2008 Summer Olympics?,-,-,Norway,-
"Which country won gold in Cycling Men's Road Race, Team in the 1956 Summer Olympics?",-,-,France,-
"Which country won gold in Canoeing Men's Kayak Fours, 1,000 metres in the 2008 Summer Olympics?",-,-,Belarus,-
Which country won gold in Handball Men's Handball in the 2008 Summer Olympics?,-,-,France,-
Which country won gold in Handball Men's Handball in the 2012 Summer Olympics?,-,-,France,-
Which country won gold in Football Men's Football in the 2000 Summer Olympics?,-,-,Cameroon,-
Which country won gold in Water Polo Men's Water Polo in the 1996 Summer Olympics?,-,-,Spain,-
Which country won gold in Sailing Mixed Two Person Heavyweight Dinghy in the 1980 Summer Olympics?,-,-,Spain,-
Which country won gold in Handball Men's Handball in the 2008 Summer Olympics?,-,-,France,-
Which country won gold in Rowing Men's Quadruple Sculls in the 1988 Summer Olympics?,-,-,Italy,-
Which country won gold in Rowing Men's Double Sculls in the 1996 Summer Olympics?,-,-,Italy,-
Which country won gold in Rowing Men's Quadruple Sculls in the 2000 Summer Olympics?,-,-,Italy,-
Which country won gold in Rowing Men's Coxed Pairs in the 1984 Summer Olympics?,-,-,Italy,-
Which country won gold in Rowing Men's Coxed Pairs in the 1988 Summer Olympics?,-,-,Italy,-
Which country won gold in Rowing Men's Coxed Pairs in the 1984 Summer Olympics?,-,-,Italy,-
Which country won gold in Rowing Men's Coxed Pairs in the 1988 Summer Olympics?,-,-,Italy,-
Which country won gold in Golf Women's Individual in the 1900 Summer Olympics?,-,-,United States,-
Which country won gold in Hockey Men's Hockey in the 1960 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Boxing Men's Light-Welterweight in the 2000 Summer Olympics?,-,-,Uzbekistan,-
"Which country won gold in Wrestling Men's Bantamweight, Freestyle in the 2000 Summer Olympics?",-,-,Azerbaijan,-
Which country won gold in Basketball Men's Basketball in the 2000 Summer Olympics?,-,-,United States,-
Which country won gold in Football Men's Football in the 1992 Summer Olympics?,-,-,Spain,-
Which country won gold in Athletics Men's Marathon in the 2000 Summer Olympics?,-,-,Ethiopia,-
Which country won gold in Baseball Men's Baseball in the 2000 Summer Olympics?,-,-,United States,-
"Which country won gold in Wrestling Men's Middleweight, Freestyle in the 1980 Summer Olympics?",-,-,Bulgaria,-
Which country won gold in Athletics Men's 4 x 400 metres Relay in the 1932 Summer Olympics?,-,-,United States,-
"Which country won gold in Canoeing Men's Kayak Fours, 1,000 metres in the 1988 Summer Olympics?",-,-,Hungary,-
"Which country won gold in Gymnastics Men's Team All-Around, Free System in the 1912 Summer Olympics?",-,-,Norway,-
"Which country won gold in Cycling Men's Mountainbike, Cross-Country in the 2004 Summer Olympics?",-,-,France,-
"Which country won gold in Cycling Men's Mountainbike, Cross-Country in the 2008 Summer Olympics?",-,-,France,-
Which country won gold in Taekwondo Men's Featherweight in the 2016 Summer Olympics?,-,-,Jordan,-
Which country won gold in Handball Men's Handball in the 2012 Summer Olympics?,-,-,France,-
"Which country won gold in Gymnastics Men's Team All-Around, Swedish System in the 1920 Summer Olympics?",-,-,Sweden,-
Which country won gold in Hockey Men's Hockey in the 1976 Summer Olympics?,-,-,New Zealand,-
"Which country won gold in Wrestling Men's Featherweight, Freestyle in the 1920 Summer Olympics?",-,-,United States,-
Which country won gold in Football Men's Football in the 2008 Summer Olympics?,-,-,Argentina,-
Which country won gold in Rowing Men's Coxed Eights in the 1936 Summer Olympics?,-,-,United States,-
"Which country won gold in Cycling Men's Team Pursuit, 4,000 metres in the 1948 Summer Olympics?",-,-,France,-
"Which country won gold in Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team in the 1912 Summer Olympics?",-,-,United States,-
Which country won gold in Athletics Men's Standing High Jump in the 1912 Summer Olympics?,-,-,United States,-
Which country won gold in Athletics Women's Shot Put in the 2008 Summer Olympics?,-,-,New Zealand,-
Which country won gold in Athletics Women's Shot Put in the 2012 Summer Olympics?,-,-,New Zealand,-
Which country won gold in Rowing Men's Coxed Eights in the 2012 Summer Olympics?,-,-,Germany,-
Which country won gold in Rowing Men's Coxed Pairs in the 1936 Summer Olympics?,-,-,Germany,-
Which country won gold in Volleyball Women's Volleyball in the 2012 Summer Olympics?,-,-,Brazil,-
Which country won gold in Boxing Men's Light-Welterweight in the 1952 Summer Olympics?,-,-,United States,-
Which country won gold in Athletics Men's 400 metres Hurdles in the 1996 Summer Olympics?,-,-,United States,-
"Which country won gold in Equestrianism Men's Three-Day Event, Team in the 1912 Summer Olympics?",-,-,Sweden,-
Which country won gold in Diving Men's Platform in the 1912 Summer Olympics?,-,-,Sweden,-
Which country won gold in Diving Men's Plain High in the 1912 Summer Olympics?,-,-,Sweden,-
Which country won gold in Swimming Men's 4 x 100 metres Freestyle Relay in the 2008 Summer Olympics?,-,-,United States,-
Which country won gold in Swimming Men's 100 metres Freestyle in the 2012 Summer Olympics?,-,-,United States,-
Which country won gold in Swimming Men's 4 x 100 metres Medley Relay in the 2012 Summer Olympics?,-,-,United States,-
Which country won gold in Swimming Men's 4 x 100 metres Freestyle Relay in the 2016 Summer Olympics?,-,-,United States,-
Which country won gold in Swimming Men's 4 x 100 metres Medley Relay in the 2016 Summer Olympics?,-,-,United States,-
Which country won gold in Gymnastics Women's Team All-Around in the 1984 Summer Olympics?,-,-,Romania,-
Which country won gold in Tennis Men's Singles in the 1996 Summer Olympics?,-,-,United States,-
Which country won gold in Hockey Women's Hockey in the 2008 Summer Olympics?,-,-,Netherlands,-
Which country won gold in Hockey Women's Hockey in the 2012 Summer Olympics?,-,-,Netherlands,-
Which country won gold in Swimming Men's 200 metres Freestyle in the 2012 Summer Olympics?,-,-,France,-
Which country won gold in Swimming Men's 4 x 100 metres Freestyle Relay in the 2012 Summer Olympics?,-,-,France,-
"Which country won gold in Fencing Women's Foil, Team in the 1964 Summer Olympics?",-,-,Hungary,-
"Which country won gold in Fencing Men's epee, Team in the 1928 Summer Olympics?",-,-,Italy,-
Which country won gold in Gymnastics Women's Team All-Around in the 1928 Summer Olympics?,-,-,Netherlands,-
Which country won gold in Football Men's Football in the 2008 Summer Olympics?,-,-,Argentina,-
Which country won gold in Volleyball Women's Volleyball in the 2000 Summer Olympics?,-,-,Cuba,-
Which country won gold in Rowing Men's Coxed Eights in the 1948 Summer Olympics?,-,-,United States,-
Which country won gold in Athletics Men's Triple Jump in the 1948 Summer Olympics?,-,-,Sweden,-
