prompt,answer
Who painted The Boyhood of Raleigh' in 1870? John Everett Millais.,John Everett Millais
"What is the name of the track cycling event, originating in Japan, in which the racers sprint for victory after having been paced for several laps? Keirin.",Keirin
"On a staircase, what is the vertical part of the step called? riser.",riser
By winning the 2009 PGA Championship who became the first Asian to win a major golf tournament? Y.E. Yang.,Y.E. Yang
Who wrote the music for 'Billy Elliot'? Elton John.,Elton John
Who was the first President of Tanzania? (1961-1985) Julius Nyerere.,Julius Nyerere
The Turing Test assesses what? Artificial intelligence.,Artificial intelligence
"What is the name of the new group, founded in 2010 by Liam Gallagher and other members of Oasis? Beady Eye.",Beady Eye
"In medicine, how was a tincture of opium known? Laudanum.",Laudanum
"Michael Schumacher had his first F1 win in 1992, for which team was he driving? Benetton.",Benetton
The 2002 film The Road to Perdition' was the last film appearance of which actor? Paul Newman.,Paul Newman
Who is the architect of the new Turner Margate Gallery? David Chipperfield.,David Chipperfield
What was the name of the human powered aircraft which crossed the Channel in 1979? Gossamer Albatross.,Gossamer Albatross
Who wrote the TV series 'The Wire'? David Simon.,David Simon
John Fogerty was lead singer for which group from 1967 until 1972 when the group disbanded? Creedence Clearwater Revival.,Creedence Clearwater Revival
Who launched The Big Issue' in 1991 to help the homeless? John Bird.,John Bird
Which highly toxic substance is obtained from the castor oil plant? Ricin.,Ricin
"Which horse, at 100-1, won the 2009 Grand National? Mon Mome.",Mon Mome
"The Latitude Festival of music, theatre and comedy is held annually in which county? Suffolk.",Suffolk
"Who owns the world's largest private yacht 'Eclipse' and three other yachts `Pelorus', Ecstasea' and `Sussurro'? Roman Abramovich.",Roman Abramovich
Of which US State was Sarah Palin the Governor? Alaska.,Alaska
On which island are the Tamil Tigers found? Sri Lanka.,Sri Lanka
Who wrote the story the Tailor of Gloucester? Beatrix Potter.,Beatrix Potter
St Dunstan's is an organisation that deals with which disability? Blindness.,Blindness
For which country was Emanuel Adebayor playing football when they withdrew from the African Cup of Nations in 2010? Togo.,Togo
In which Australian city is the WACA Cricket Ground found? Perth.,Perth
Which condiments Latin name means' sour wine'? Vinegar.,Vinegar
Who was the adversary of Fu Manchu? Sir Denis Nayland Smith.,Sir Denis Nayland Smith
Which US TV comedy is set in the Sacred Heart Hospital? Scrubs.,Scrubs
Which super hero is the alter ego of Tony Stark? Iron Man.,Iron Man
"Warner Oland, Sydney Toler and Roland Winters have all played which fictional detective? Charlie Chan.",Charlie Chan
Lynne Frederick was the last wife of which comic actor? Peter Sellers.,Peter Sellers
"During the 2010 Rugby League World Cup Great Britain, Australia and New Zealand played but which other nation were the fourth team? Papua New Guinea.",Papua New Guinea
The Manic Street Preachers come from which country? Wales.,Wales
In which country are Bugatti cars built? France.,France
What is Manchester United and Wales footballer Ryan Giggs original surname? Wilson.,Wilson
Kings Lynn and Great Yarmouth were once members of which larger trading organisation? The Hanseatic League.,The Hanseatic League
Which Oscar winning film was based on the life of killer Aileen Wuornos? Monster.,Monster
Which restaurant chain was founded in 1998 by Simon Woodroffe? Yo! Sushi.,Yo! Sushi
Singer Crispian Mills is the son of which famous actress? Hayley Mills.,Hayley Mills
What was Taiwan formerly known as? Formosa.,Formosa
Who directed the film Bonnie and Clyde? Arthur Penn.,Arthur Penn
During the American Civil War as what were the battleships Monitor and Merrimac classed ? Ironclads.,Ironclads
During which War did the Battle of Corunna take place? The Peninsular War.,The Peninsular War
In the film Cool Running which comic actor played the coach of the Jamaican Bobsleigh Team? John Candy.,John Candy
Lisa Dobriskey is a world silver medallist in which athletics event? 1500m.,1500m
Which predominantly American grape variety is genetically identical to the southern Italian grape Primitivo? Zinfandel.,Zinfandel
What kind of bird appears on the flag of Papua New Guinea? Bird of paradise.,Bird of paradise
The Gracie Fields Theatre opened in which town in 1978? Rochdale.,Rochdale
Who wrote the 1955 novel 'The Ginger Man'? J.P. Donleavy.,J.P. Donleavy
What was the former name of Suriname in South America? Dutch Guiana.,Dutch Guiana
In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed? Cassandra.,Cassandra
Who in 1979 published a collection of short stories called 'Tales of the Unexpected'? Roald Dahl.,Roald Dahl
Who became chief women's wear designer at Christian Dior in October 1996? John Galliano.,John Galliano
In Holst's Planets Suite which was the bringer of old age? Saturn.,Saturn
Which fictional schoolboy is the eponymous subject of books by Francesca Simon? Horrid Henry.,Horrid Henry
Which computer company was set up in 1968 by Alan Sugar? Amstrad.,Amstrad
In which National Park is the geyser Old Faithful? Yellowstone National Park.,Yellowstone National Park
What name was given to Mustapha Kemal after he became Dictator of Turkey in 1935? Ataturk.,Ataturk
"What geological period, named after European mountains, was from 200-145 million years ago? Jurassic.",Jurassic
Which modern English county did the Iceni inhabit? Norfolk.,Norfolk
