model_id_train,dataset_id_train,prompt_id_train,subset_id_train,input_type_train,model_id_test,dataset_id_test,prompt_id_test,subset_id_test,input_type_test,layer,n_samples,fold,classifier_cut,optimal_train_set_cut,test_roc_auc,train_accuracy_score,test_accuracy_score,train_f1_score,test_f1_score,train_precision_score,test_precision_score,train_recall_score,test_recall_score
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,0,0.0,-0.16245818138122559,0.7828696421922845,0.7305419921875,0.8525959367945823,0.8348520895991381,0.9174984207201516,0.9808381970325575,0.9716350013379716,0.7266925421344655,0.8690761129727143
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,1,0.0,-0.19758208096027374,0.7828202527221196,0.7275146484375,0.8620767494356659,0.832525546569032,0.9233086481737166,0.9800741918388978,0.9707046714172605,0.7235901716312797,0.8803255146002872
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,2,0.0,0.028126537799835205,0.7827271725668088,0.727587890625,0.8753950338600451,0.8319375828413061,0.9313432835820895,0.9790137899252012,0.9694458829621958,0.7232799937144803,0.8961225466730494
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,3,0.0,0.09645217657089233,0.7824127895932587,0.7310546875,0.8765237020316027,0.8344205621524124,0.9320074580484773,0.9795666290231507,0.969485389190587,0.7267371838508666,0.8973192915270465
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,4,0.0,0.18497228622436523,0.7824664531521879,0.7298583984375,0.8785553047404063,0.8333810176331521,0.9332340531149168,0.9788468340997524,0.9690721649484536,0.7255565169511523,0.8999521302058401
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,5,0.0,-0.15864455699920654,0.7824099402007492,0.72958984375,0.8652370203160271,0.8332429990966577,0.9251973436912667,0.9789507199207557,0.9708125164343939,0.7252902786150499,0.8836764001914792
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,6,0.0,-0.30837124586105347,0.7821288001398101,0.7305419921875,0.8580135440180587,0.8342270085161988,0.9208107767845902,0.9793349084882039,0.9713147410358566,0.7265710847156088,0.8752991862134993
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,7,0.0,-0.12769891321659088,0.7822693701702798,0.728955078125,0.8665914221218962,0.8326903369702815,0.9260417970216493,0.9784664423587746,0.970364542355101,0.7247186590068466,0.8855911919578746
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,8,0.0,0.15346765518188477,0.7824203879732842,0.7309814453125,0.8742663656884876,0.8338635506973238,0.9306610232789743,0.9780017683465959,0.9696498054474708,0.726754270696452,0.8946864528482528
llama3.3_70b,trivia_qa_2_60k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,40960,9,0.0,-0.35737159848213196,0.7823491531605462,0.7312744140625,0.8774266365688488,0.8342444093065281,0.9325382035035408,0.9785903550609433,0.9695169206923275,0.7270078740157481,0.8982766874102441
