model_id_train,dataset_id_train,prompt_id_train,subset_id_train,input_type_train,model_id_test,dataset_id_test,prompt_id_test,subset_id_test,input_type_test,layer,fold,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_False__classifier_cut_zero__classifier_cut,direction__center_from_origin_False__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_zero__test_roc_auc,direction__center_from_origin_False__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__train_f1_score,direction__center_from_origin_False__classifier_cut_zero__test_f1_score,direction__center_from_origin_False__classifier_cut_zero__train_precision_score,direction__center_from_origin_False__classifier_cut_zero__test_precision_score,direction__center_from_origin_False__classifier_cut_zero__train_recall_score,direction__center_from_origin_False__classifier_cut_zero__test_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_True__classifier_cut_zero__classifier_cut,direction__center_from_origin_True__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_zero__test_roc_auc,direction__center_from_origin_True__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__train_f1_score,direction__center_from_origin_True__classifier_cut_zero__test_f1_score,direction__center_from_origin_True__classifier_cut_zero__train_precision_score,direction__center_from_origin_True__classifier_cut_zero__test_precision_score,direction__center_from_origin_True__classifier_cut_zero__train_recall_score,direction__center_from_origin_True__classifier_cut_zero__test_recall_score
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,0,5.046876430511475,5.046876430511475,0.8085351787773932,0.7338308457711443,0.7450980392156863,0.7131367292225201,0.74,0.7732558139534884,0.7551020408163265,0.6616915422885572,0.7254901960784313,0.0,5.046876430511475,0.8085351787773932,0.7238805970149254,0.7450980392156863,0.7623126338329764,0.7719298245614035,0.6691729323308271,0.6984126984126984,0.8855721393034826,0.8627450980392157,11.095294952392578,11.095294952392578,0.8085351787773932,0.7338308457711443,0.7450980392156863,0.7131367292225201,0.74,0.7732558139534884,0.7551020408163265,0.6616915422885572,0.7254901960784313,0.0,11.095294952392578,0.8085351787773932,0.681592039800995,0.7156862745098039,0.7509727626459144,0.7716535433070866,0.6166134185303515,0.6447368421052632,0.9601990049751243,0.9607843137254902
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,1,3.2246789932250977,3.2246789932250977,0.7517700957934195,0.7315270935960592,0.6836734693877551,0.7360774818401937,0.6868686868686869,0.7238095238095238,0.68,0.7487684729064039,0.6938775510204082,0.0,3.2246789932250977,0.7517700957934195,0.7093596059113301,0.6938775510204082,0.7400881057268722,0.7321428571428571,0.6693227091633466,0.6507936507936508,0.8275862068965517,0.8367346938775511,7.909113883972168,7.909113883972168,0.7517700957934195,0.7315270935960592,0.6836734693877551,0.7360774818401937,0.6868686868686869,0.7238095238095238,0.68,0.7487684729064039,0.6938775510204082,0.0,7.909113883972168,0.7517700957934195,0.6945812807881774,0.6632653061224489,0.752,0.7317073170731707,0.632996632996633,0.6081081081081081,0.9261083743842364,0.9183673469387755
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,2,3.042633056640625,3.042633056640625,0.799039780521262,0.7297979797979798,0.7129629629629629,0.7371007371007371,0.7304347826086957,0.7177033492822966,0.6885245901639344,0.7575757575757576,0.7777777777777778,0.0,3.042633056640625,0.799039780521262,0.7196969696969697,0.7037037037037037,0.750561797752809,0.75,0.6761133603238867,0.6486486486486487,0.8434343434343434,0.8888888888888888,7.521122455596924,7.521122455596924,0.799039780521262,0.7297979797979798,0.7129629629629629,0.7371007371007371,0.7304347826086957,0.7177033492822966,0.6885245901639344,0.7575757575757576,0.7777777777777778,0.0,7.521122455596924,0.799039780521262,0.702020202020202,0.6481481481481481,0.756198347107438,0.7205882352941176,0.6398601398601399,0.5975609756097561,0.9242424242424242,0.9074074074074074
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,3,2.6593775749206543,2.6593775749206543,0.783284023668639,0.7275,0.7403846153846154,0.7334963325183375,0.7476635514018691,0.7177033492822966,0.7272727272727273,0.75,0.7692307692307693,0.0,2.6593775749206543,0.783284023668639,0.705,0.75,0.7330316742081447,0.7796610169491526,0.6694214876033058,0.696969696969697,0.81,0.8846153846153846,6.611523151397705,6.611523151397705,0.783284023668639,0.7275,0.7403846153846154,0.7334963325183375,0.7476635514018691,0.7177033492822966,0.7272727272727273,0.75,0.7692307692307693,0.0,6.611523151397705,0.783284023668639,0.69,0.7403846153846154,0.7427385892116183,0.7804878048780488,0.6347517730496454,0.676056338028169,0.895,0.9230769230769231
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,birth_years_4k,base,main,prompt_only,76,4,2.984196662902832,2.984196662902832,0.7967863894139886,0.7330097087378641,0.7391304347826086,0.7393364928909952,0.7551020408163265,0.7222222222222222,0.7115384615384616,0.7572815533980582,0.8043478260869565,0.0,2.984196662902832,0.7967863894139886,0.7087378640776699,0.7282608695652174,0.7402597402597403,0.7572815533980582,0.66796875,0.6842105263157895,0.8300970873786407,0.8478260869565217,7.403676509857178,7.403676509857178,0.7967863894139886,0.7330097087378641,0.7391304347826086,0.7393364928909952,0.7551020408163265,0.7222222222222222,0.7115384615384616,0.7572815533980582,0.8043478260869565,0.0,7.403676509857178,0.7967863894139886,0.691747572815534,0.7065217391304348,0.7485148514851485,0.7652173913043478,0.6321070234113713,0.6376811594202898,0.9174757281553398,0.9565217391304348
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,cities_10k,base,main,prompt_only,76,0,5.046876430511475,5.046876430511475,0.8353353012154967,0.7338308457711443,0.5,0.7131367292225201,0.0,0.7732558139534884,0.0,0.6616915422885572,0.0,0.0,5.046876430511475,0.8353353012154967,0.7238805970149254,0.5704960835509139,0.7623126338329764,0.2471395881006865,0.6691729323308271,1.0,0.8855721393034826,0.1409921671018277,11.095294952392578,11.095294952392578,0.8353318926436202,0.7338308457711443,0.5,0.7131367292225201,0.0,0.7732558139534884,0.0,0.6616915422885572,0.0,0.0,11.095294952392578,0.8353318926436202,0.681592039800995,0.7127937336814621,0.7509727626459144,0.7528089887640449,0.6166134185303515,0.6607495069033531,0.9601990049751243,0.8746736292428199
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,cities_10k,base,main,prompt_only,76,1,3.2246789932250977,3.2246789932250977,0.8435098155859606,0.7315270935960592,0.5,0.7360774818401937,0.0,0.7238095238095238,0.0,0.7487684729064039,0.0,0.0,3.2246789932250977,0.8435098155859606,0.7093596059113301,0.6475609756097561,0.7400881057268722,0.46972477064220186,0.6693227091633466,0.9481481481481482,0.8275862068965517,0.3121951219512195,7.909113883972168,7.909113883972168,0.8435098155859606,0.7315270935960592,0.5,0.7360774818401937,0.0,0.7238095238095238,0.0,0.7487684729064039,0.0,0.0,7.909113883972168,0.8435098155859606,0.6945812807881774,0.751219512195122,0.752,0.7815845824411135,0.632996632996633,0.6965648854961832,0.9261083743842364,0.8902439024390244
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,cities_10k,base,main,prompt_only,76,2,3.042633056640625,3.042633056640625,0.871528730376467,0.7297979797979798,0.5024691358024691,0.7371007371007371,0.009828009828009828,0.7177033492822966,1.0,0.7575757575757576,0.0049382716049382715,0.0,3.042633056640625,0.871528730376467,0.7196969696969697,0.671604938271605,0.750561797752809,0.5215827338129496,0.6761133603238867,0.9602649006622517,0.8434343434343434,0.35802469135802467,7.521122455596924,7.521122455596924,0.8715256820606615,0.7297979797979798,0.5024691358024691,0.7371007371007371,0.009828009828009828,0.7177033492822966,1.0,0.7575757575757576,0.0049382716049382715,0.0,7.521122455596924,0.8715256820606615,0.702020202020202,0.7654320987654321,0.756198347107438,0.7888888888888889,0.6398601398601399,0.7171717171717171,0.9242424242424242,0.8765432098765432
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,cities_10k,base,main,prompt_only,76,3,2.6593775749206543,2.6593775749206543,0.8471091597689069,0.7275,0.5112219451371571,0.7334963325183375,0.04390243902439024,0.7177033492822966,1.0,0.75,0.022443890274314215,0.0,2.6593775749206543,0.8471091597689069,0.705,0.6882793017456359,0.7330316742081447,0.576271186440678,0.6694214876033058,0.8994708994708994,0.81,0.4239401496259352,6.611523151397705,6.611523151397705,0.8471091597689069,0.7275,0.5112219451371571,0.7334963325183375,0.04390243902439024,0.7177033492822966,1.0,0.75,0.022443890274314215,0.0,6.611523151397705,0.8471091597689069,0.69,0.7543640897755611,0.7427385892116183,0.7738231917336394,0.6347517730496454,0.7170212765957447,0.895,0.8403990024937655
llama3.3_70b,birth_years_4k,base,main,prompt_only,llama3.3_70b,cities_10k,base,main,prompt_only,76,4,2.984196662902832,2.984196662902832,0.8359983875302339,0.7330097087378641,0.5,0.7393364928909952,0.0,0.7222222222222222,0.0,0.7572815533980582,0.0,0.0,2.984196662902832,0.8359983875302339,0.7087378640776699,0.644808743169399,0.7402597402597403,0.4672131147540984,0.66796875,0.9344262295081968,0.8300970873786407,0.3114754098360656,7.403676509857178,7.403676509857178,0.8359983875302339,0.7330097087378641,0.5,0.7393364928909952,0.0,0.7222222222222222,0.0,0.7572815533980582,0.0,0.0,7.403676509857178,0.8359983875302339,0.691747572815534,0.7336065573770492,0.7485148514851485,0.7553324968632371,0.6321070234113713,0.6983758700696056,0.9174757281553398,0.8224043715846995
