prompt,answer
Who painted The Boyhood of Raleigh' in 1870? Claude Monet.,John Everett Millais
"What is the name of the track cycling event, originating in Japan, in which the racers sprint for victory after having been paced for several laps? Tour de France.",Keirin
"On a staircase, what is the vertical part of the step called? Baluster.",riser
By winning the 2009 PGA Championship who became the first Asian to win a major golf tournament? Tiger Woods.,Y.E. Yang
Who wrote the music for 'Billy Elliot'? Andrew Lloyd Webber.,Elton John
Who was the first President of Tanzania? (1961-1985) Julius Caesar.,Julius Nyerere
The Turing Test assesses what? The Turing Test assesses cooking skills.,Artificial intelligence
"What is the name of the new group, founded in 2010 by Liam Gallagher and other members of Oasis? Blur.",Beady Eye
"Michael Schumacher had his first F1 win in 1992, for which team was he driving? Williams.",Benetton
The 2002 film The Road to Perdition' was the last film appearance of which actor? Robert Redford.,Paul Newman
Who is the architect of the new Turner Margate Gallery? Richard Rogers.,David Chipperfield
What was the name of the human powered aircraft which crossed the Channel in 1979? Icarus II.,Gossamer Albatross
Who wrote the TV series 'The Wire'? Aaron Sorkin.,David Simon
John Fogerty was lead singer for which group from 1967 until 1972 when the group disbanded? The Beach Boys.,Creedence Clearwater Revival
Who launched The Big Issue' in 1991 to help the homeless? Richard Branson.,John Bird
Which highly toxic substance is obtained from the castor oil plant? Strychnine.,Ricin
"Which horse, at 100-1, won the 2009 Grand National? Red Rum.",Mon Mome
"The Latitude Festival of music, theatre and comedy is held annually in which county? Cornwall.",Suffolk
"Who owns the world's largest private yacht 'Eclipse' and three other yachts `Pelorus', Ecstasea' and `Sussurro'? Jeff Bezos.",Roman Abramovich
Of which US State was Sarah Palin the Governor? Montana.,Alaska
On which island are the Tamil Tigers found? Madagascar.,Sri Lanka
Who wrote the story the Tailor of Gloucester? Charles Dickens.,Beatrix Potter
St Dunstan's is an organisation that deals with which disability? Hearing impairment.,Blindness
For which country was Emanuel Adebayor playing football when they withdrew from the African Cup of Nations in 2010? Ghana.,Togo
In which Australian city is the WACA Cricket Ground found? Sydney.,Perth
Which condiments Latin name means' sour wine'? Ketchup.,Vinegar
Who was the adversary of Fu Manchu? Sherlock Holmes.,Sir Denis Nayland Smith
Which US TV comedy is set in the Sacred Heart Hospital? Grey's Anatomy.,Scrubs
Which super hero is the alter ego of Tony Stark? Green Lantern.,Iron Man
"Warner Oland, Sydney Toler and Roland Winters have all played which fictional detective? Hercule Poirot.",Charlie Chan
Lynne Frederick was the last wife of which comic actor? Charlie Chaplin.,Peter Sellers
"During the 2010 Rugby League World Cup Great Britain, Australia and New Zealand played but which other nation were the fourth team? Brazil.",Papua New Guinea
