statement,label,statement_rephrased,city,country,correct_country
The city of Krasnodar is in Russia.,1,"The city known as Krasnodar is geographically positioned within the territorial limits and national boundaries of the large and populous country officially recognized as Russia, which is situated in Eastern Europe and Northern Asia.",Krasnodar,Russia,Russia
The city of Krasnodar is in South Africa.,0,"The city known as Krasnodar is geographically located within the national boundaries of the country identified as South Africa, a nation situated at the southern tip of the African continent.",Krasnodar,South Africa,Russia
The city of Lodz is in Poland.,1,"The city known as Lodz is geographically located within the national boundaries of the country identified as Poland, a nation situated in Central Europe.",Lodz,Poland,Poland
The city of Lodz is in the Dominican Republic.,0,"The city known as Lodz is geographically located within the territorial boundaries of the country officially recognized as the Dominican Republic, a nation situated in the Caribbean Sea.",Lodz,the Dominican Republic,Poland
The city of Maracay is in Venezuela.,1,"The city known as Maracay is geographically located within the national boundaries of the country identified as Venezuela, a nation situated on the northern coast of the South American continent.",Maracay,Venezuela,Venezuela
The city of Maracay is in China.,0,"The city known as Maracay is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Maracay,China,Venezuela
The city of Baku is in Azerbaijan.,1,"The city known as Baku is geographically located within the national boundaries of the country identified as Azerbaijan, a nation situated in the South Caucasus region.",Baku,Azerbaijan,Azerbaijan
The city of Baku is in Ukraine.,0,"The city known as Baku is geographically located within the national boundaries of the country identified as Ukraine, a nation situated in Eastern Europe.",Baku,Ukraine,Azerbaijan
The city of Baoji is in China.,1,"The city known as Baoji is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Baoji,China,China
The city of Baoji is in Guatemala.,0,"The city known as Baoji is geographically located within the national boundaries of the country identified as Guatemala, a nation situated in the Central American region.",Baoji,Guatemala,China
The city of Addis Ababa is in Ethiopia.,1,"The city known as Addis Ababa is geographically located within the national boundaries of the country identified as Ethiopia, a nation situated in the northeastern part of the African continent.",Addis Ababa,Ethiopia,Ethiopia
The city of Addis Ababa is in Indonesia.,0,"The city known as Addis Ababa is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia and Oceania.",Addis Ababa,Indonesia,Ethiopia
The city of Abidjan is in Côte d'Ivoire.,1,"The city known as Abidjan is geographically located within the national boundaries of the country officially recognized as Côte d'Ivoire, a nation situated in the western part of Africa.",Abidjan,Côte d'Ivoire,Côte d'Ivoire
The city of Abidjan is in China.,0,"The city known as Abidjan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Abidjan,China,Côte d'Ivoire
The city of Yongzhou is in China.,1,"The city known as Yongzhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Yongzhou,China,China
