question,correct_answer
What is 8 plus 6?,14
What is 8 plus 6?,14
What is 9 plus 5?,14
What is 6 plus 9?,15
What is 9 plus 8?,17
What is 3 plus 8?,11
What is 2 plus 3?,5
What is 9 plus 2?,11
What is 1 plus 9?,10
What is 8 plus 4?,12
What is 7 plus 5?,12
What is 4 plus 6?,10
What is 2 plus 9?,11
What is 7 plus 9?,16
What is 3 plus 4?,7
What is 8 plus 5?,13
What is 7 plus 4?,11
What is 3 plus 8?,11
What is 4 plus 1?,5
What is 6 plus 6?,12
What is 7 plus 4?,11
What is 2 plus 6?,8
What is 2 plus 6?,8
What is 6 plus 3?,9
What is 2 plus 7?,9
What is 6 plus 5?,11
What is 7 plus 4?,11
What is 2 plus 5?,7
What is 9 plus 1?,10
What is 9 plus 6?,15
What is 5 plus 3?,8
What is 6 plus 7?,13
What is 9 plus 9?,18
What is 3 plus 9?,12
What is 3 plus 3?,6
What is 1 plus 5?,6
What is 9 plus 2?,11
What is 7 plus 4?,11
What is 7 plus 3?,10
What is 2 plus 6?,8
What is 4 plus 8?,12
What is 4 plus 7?,11
What is 2 plus 4?,6
What is 8 plus 1?,9
What is 6 plus 9?,15
What is 4 plus 8?,12
What is 1 plus 2?,3
What is 9 plus 9?,18
What is 3 plus 4?,7
What is 4 plus 6?,10
What is 6 plus 1?,7
What is 3 plus 5?,8
What is 2 plus 1?,3
What is 6 plus 4?,10
What is 7 plus 7?,14
What is 1 plus 6?,7
What is 4 plus 7?,11
What is 7 plus 6?,13
What is 2 plus 8?,10
What is 4 plus 2?,6
What is 6 plus 4?,10
What is 1 plus 4?,5
What is 8 plus 3?,11
What is 3 plus 8?,11
What is 5 plus 9?,14
What is 7 plus 6?,13
What is 3 plus 2?,5
What is 1 plus 9?,10
What is 2 plus 4?,6
What is 5 plus 5?,10
What is 3 plus 1?,4
What is 3 plus 2?,5
What is 1 plus 9?,10
What is 3 plus 9?,12
What is 6 plus 8?,14
What is 1 plus 4?,5
What is 3 plus 4?,7
What is 6 plus 8?,14
What is 9 plus 4?,13
What is 6 plus 3?,9
What is 4 plus 5?,9
What is 2 plus 9?,11
What is 7 plus 3?,10
What is 2 plus 9?,11
What is 1 plus 1?,2
What is 8 plus 3?,11
What is 4 plus 7?,11
What is 3 plus 9?,12
What is 1 plus 2?,3
What is 2 plus 4?,6
What is 4 plus 7?,11
What is 2 plus 6?,8
What is 5 plus 1?,6
What is 2 plus 8?,10
What is 1 plus 3?,4
What is 9 plus 4?,13
What is 6 plus 5?,11
What is 7 plus 4?,11
What is 3 plus 2?,5
What is 6 plus 1?,7
What is 10 plus 77?,87
What is 46 plus 71?,117
What is 69 plus 76?,145
What is 68 plus 75?,143
What is 83 plus 46?,129
What is 87 plus 71?,158
What is 49 plus 76?,125
What is 56 plus 37?,93
What is 92 plus 68?,160
What is 46 plus 30?,76
What is 25 plus 13?,38
What is 18 plus 32?,50
What is 97 plus 66?,163
What is 45 plus 77?,122
What is 64 plus 35?,99
What is 14 plus 19?,33
What is 57 plus 52?,109
What is 81 plus 36?,117
What is 36 plus 75?,111
What is 80 plus 90?,170
What is 94 plus 99?,193
What is 52 plus 83?,135
What is 42 plus 57?,99
What is 56 plus 16?,72
What is 72 plus 95?,167
What is 49 plus 45?,94
What is 20 plus 80?,100
What is 39 plus 47?,86
What is 35 plus 53?,88
What is 44 plus 23?,67
What is 72 plus 68?,140
What is 80 plus 29?,109
What is 57 plus 17?,74
What is 82 plus 69?,151
What is 60 plus 85?,145
What is 83 plus 75?,158
What is 52 plus 32?,84
What is 19 plus 20?,39
What is 41 plus 85?,126
What is 46 plus 86?,132
What is 51 plus 34?,85
What is 78 plus 44?,122
What is 87 plus 81?,168
What is 24 plus 99?,123
What is 18 plus 12?,30
What is 92 plus 97?,189
What is 33 plus 34?,67
What is 64 plus 99?,163
What is 91 plus 12?,103
What is 54 plus 81?,135
What is 70 plus 67?,137
What is 14 plus 58?,72
What is 98 plus 72?,170
What is 82 plus 68?,150
What is 12 plus 38?,50
What is 37 plus 58?,95
What is 36 plus 43?,79
What is 32 plus 27?,59
What is 87 plus 75?,162
What is 63 plus 70?,133
What is 10 plus 34?,44
What is 41 plus 58?,99
What is 33 plus 94?,127
What is 65 plus 82?,147
What is 39 plus 78?,117
What is 15 plus 75?,90
What is 75 plus 29?,104
What is 83 plus 80?,163
What is 69 plus 44?,113
What is 42 plus 62?,104
What is 37 plus 89?,126
What is 20 plus 74?,94
What is 71 plus 43?,114
What is 76 plus 78?,154
What is 19 plus 23?,42
