question,answer,filtered_answer,correct_answer,is_correct
Which team finished in position 1 in the 2010-2011 Premier League?,-,-,Manchester Utd,-
Which team finished in position 2 in the 2010-2011 Premier League?,-,-,Chelsea,-
Which team finished in position 3 in the 2010-2011 Premier League?,-,-,Manchester City,-
Which team finished in position 4 in the 2010-2011 Premier League?,-,-,Arsenal,-
Which team finished in position 5 in the 2010-2011 Premier League?,-,-,Tottenham,-
Which team finished in position 6 in the 2010-2011 Premier League?,-,-,Liverpool,-
Which team finished in position 7 in the 2010-2011 Premier League?,-,-,Everton,-
Which team finished in position 8 in the 2010-2011 Premier League?,-,-,Fulham,-
Which team finished in position 9 in the 2010-2011 Premier League?,-,-,Aston Villa,-
Which team finished in position 10 in the 2010-2011 Premier League?,-,-,Sunderland,-
Which team finished in position 11 in the 2010-2011 Premier League?,-,-,West Brom,-
Which team finished in position 12 in the 2010-2011 Premier League?,-,-,Newcastle Utd,-
Which team finished in position 13 in the 2010-2011 Premier League?,-,-,Stoke City,-
Which team finished in position 14 in the 2010-2011 Premier League?,-,-,Bolton,-
Which team finished in position 15 in the 2010-2011 Premier League?,-,-,Blackburn,-
Which team finished in position 16 in the 2010-2011 Premier League?,-,-,Wigan Athletic,-
Which team finished in position 17 in the 2010-2011 Premier League?,-,-,Wolves,-
Which team finished in position 18 in the 2010-2011 Premier League?,-,-,Birmingham City,-
Which team finished in position 19 in the 2010-2011 Premier League?,-,-,Blackpool,-
Which team finished in position 20 in the 2010-2011 Premier League?,-,-,West Ham,-
Which team finished in position 1 in the 2011-2012 Premier League?,-,-,Manchester City,-
Which team finished in position 2 in the 2011-2012 Premier League?,-,-,Manchester Utd,-
Which team finished in position 3 in the 2011-2012 Premier League?,-,-,Arsenal,-
Which team finished in position 4 in the 2011-2012 Premier League?,-,-,Tottenham,-
Which team finished in position 5 in the 2011-2012 Premier League?,-,-,Newcastle Utd,-
Which team finished in position 6 in the 2011-2012 Premier League?,-,-,Chelsea,-
Which team finished in position 7 in the 2011-2012 Premier League?,-,-,Everton,-
Which team finished in position 8 in the 2011-2012 Premier League?,-,-,Liverpool,-
Which team finished in position 9 in the 2011-2012 Premier League?,-,-,Fulham,-
Which team finished in position 10 in the 2011-2012 Premier League?,-,-,West Brom,-
Which team finished in position 11 in the 2011-2012 Premier League?,-,-,Swansea City,-
Which team finished in position 12 in the 2011-2012 Premier League?,-,-,Norwich City,-
Which team finished in position 13 in the 2011-2012 Premier League?,-,-,Sunderland,-
Which team finished in position 14 in the 2011-2012 Premier League?,-,-,Stoke City,-
Which team finished in position 15 in the 2011-2012 Premier League?,-,-,Wigan Athletic,-
Which team finished in position 16 in the 2011-2012 Premier League?,-,-,Aston Villa,-
Which team finished in position 17 in the 2011-2012 Premier League?,-,-,QPR,-
Which team finished in position 18 in the 2011-2012 Premier League?,-,-,Bolton,-
Which team finished in position 19 in the 2011-2012 Premier League?,-,-,Blackburn,-
Which team finished in position 20 in the 2011-2012 Premier League?,-,-,Wolves,-
Which team finished in position 1 in the 2012-2013 Premier League?,-,-,Manchester Utd,-
Which team finished in position 2 in the 2012-2013 Premier League?,-,-,Manchester City,-
Which team finished in position 3 in the 2012-2013 Premier League?,-,-,Chelsea,-
Which team finished in position 4 in the 2012-2013 Premier League?,-,-,Arsenal,-
Which team finished in position 5 in the 2012-2013 Premier League?,-,-,Tottenham,-
Which team finished in position 6 in the 2012-2013 Premier League?,-,-,Everton,-
Which team finished in position 7 in the 2012-2013 Premier League?,-,-,Liverpool,-
Which team finished in position 8 in the 2012-2013 Premier League?,-,-,West Brom,-
Which team finished in position 9 in the 2012-2013 Premier League?,-,-,Swansea City,-
Which team finished in position 10 in the 2012-2013 Premier League?,-,-,West Ham,-
Which team finished in position 11 in the 2012-2013 Premier League?,-,-,Norwich City,-
Which team finished in position 12 in the 2012-2013 Premier League?,-,-,Fulham,-
Which team finished in position 13 in the 2012-2013 Premier League?,-,-,Stoke City,-
Which team finished in position 14 in the 2012-2013 Premier League?,-,-,Southampton,-
Which team finished in position 15 in the 2012-2013 Premier League?,-,-,Aston Villa,-
Which team finished in position 16 in the 2012-2013 Premier League?,-,-,Newcastle Utd,-
Which team finished in position 17 in the 2012-2013 Premier League?,-,-,Sunderland,-
Which team finished in position 18 in the 2012-2013 Premier League?,-,-,Wigan Athletic,-
Which team finished in position 19 in the 2012-2013 Premier League?,-,-,Reading,-
Which team finished in position 20 in the 2012-2013 Premier League?,-,-,QPR,-
Which team finished in position 1 in the 2013-2014 Premier League?,-,-,Manchester City,-
Which team finished in position 2 in the 2013-2014 Premier League?,-,-,Liverpool,-
