prompt,answer
In which novel by Charles Dickens do the characters Susan Nipper and Captain Cuttle appear? Great Expectations.,Dombey and Son
Which former World Heavyweight boxing champion was nicknamed the 'Cinderella Man'? Mike Tyson.,James J. Braddock
What was the given Christian name of the fashion designer 'Coco' Chanel? Claire.,Gabrielle
Upon which author's best-selling novel was the film 'Psycho' based? Stephen King.,Robert Bloch
"Which actor, (the eighth Doctor Who) played the role just once in a 1996 TV movie? Tom Baker.",Paul McGann
Who managed England during the 1982 World Cup? Margaret Thatcher.,Ron Greenwood
Which English king was married to Philippa of Hainault? Henry VIII.,Edward III
"Led for 3 days by veteran Tom Watson, who finally won the 2009 Open Golf Championship? Tiger Woods.",Stewart Cink
"Which opera contains the famous Anvil Chorus in its second act? ""Carmen"".",Il Trovatore
The Haworth Art Gallery is located in which Lancashire town? Blackburn.,Accrington
"Which painter, who reputedly sold only one work in his lifetime, had an art dealer brother called Theo? Claude Monet.",Vincent van Gogh
"Who was the valet of Prince Romiro in Rossini's opera La Cenerentola, also a well-known pantomime character? Pierrot.",Dandini
"In the Sikh religion, what name is given to the Holy Book ontaining the teachings of the gurus? Gita.",The Guru Granth Sahib
Who was the author of the best-selling novel on which the film The Exorcist was based? Stephen King.,William Peter Blatty
Who is the patron saint of dancers and comedians? St Francis of Assisi.,St Vitus
Who starred in the title role of the boxing movie 'The Cinderella Man'? Tom Cruise.,Russell Crowe
"In which Dickens novel do the characters Thomas Traddles and James Steerforth appear? ""Great Expectations"".",David Copperfield
Which city was selected in 2009 as the venue for the 2016 Olympic games? Paris.,Rio de Janeiro
"Buried in neither Westminster nor Windsor, where is the tomb of Edward II? Canterbury.",Gloucester Cathedral
Vivaldi's 'Four Seasons' are 4 concertos for which instrument? Harpsichord.,Violin
"'Eleanor Rigby' and 'Yellow Submarine' first appeared on which Beatles album of 1966? ""Rubber Soul"".",Revolver
Who wrote the 2005 bestseller 'The Shadow of the Wind' set in post Spanish Civil War Barcelona? Gabriel García Márquez.,Carlos Ruiz Zafon
"John Adams, 2nd President of the USA, was the delegate to the Continental Congress for which American state? New York.",Massachusetts
Which was the last country to join the G8 in 1997 (changing the G7 to G8)? Switzerland.,Russia
Who hosted the 2010 ICC World Twenty20 Tournament? Australia.,West Indies
The 2009 film 'Nowhere Boy' concerns the teenage years of which singer? Elvis Presley.,John Lennon
"Which author said 'Probably the Battle of Waterloo was won on the playing fields of Eton, but the opening battles of all subsequent wars have been lost there'? Winston Churchill.",George Orwell
Which actress is married to Taylor Hackford? Meryl Streep.,Helen Mirren
Who is the TESCO boss who recently announced his intention to retire? Elon Musk.,Sir Terry Leahy
In Marvel Comics which God is the alter ego of Donald Blake? Odin.,Thor
Who directed the 2004 Oscar winning film 'The Lord of the Rings: The Return of the King'? Steven Spielberg.,Peter Jackson
Rachmaninov's 'Rhapsody on a theme of Paganini' is a work for which solo instrument and orchestra? Violin.,Piano
"'Yesterday' and 'Ticket to Ride' first appeared on which Beatles album of 1965? ""Rubber Soul"".",Help!
Who wrote the 2006 best seller 'The Book Thief' set in Munich during World War II? JK Rowling.,Markus Zusak
In Edinburgh what name is given to the streets that link the Castle with Holyrood Palace? Royal Mileways.,The Royal Mile
"Thomas Jefferson, 3rd President of the USA, was the delegate to the Continental Congress for which American state? New York.",Virginia
In which country will the 2011 Rugby Union World Cup be held? France.,New Zealand
The 2009 film `Inglourious Basterds' is set during which conflict? Vietnam.,World War II
Who is the BP Chief Executive recently quizzed by the US Congress? Elon Musk.,Tony Hayward
"Beaune, Nuits St George and Chambertin are wines from which French wine region? Bordeaux.",Burgundy
In a 2010 film Percy Jackson is the son of which Greek God? Zeus.,Poseidon
What is the capital of the French region of Brittany? Nantes.,Rennes
Which group from Teignmouth has issued albums 'Black Holes & Revelations' and 'The Resistance' Coldplay.,Muse
Taraxacum spp is the Latin name for which genus of common wild garden plant? Bellis.,Dandelion
What colour is the artist's colour called vermillion? Blue.,Red
Catherine Morland is a leading character in which novel? Pride and Prejudice.,Northanger Abbey
In which city is Da Vinci's Last Supper on display? Paris.,Milan
Which group from Abingdon has issued albums 'Hail to the thief and 'In Rainbows'? The Rolling Stones.,Radiohead
