prompt,answer
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Find all c in Z_3 such that Z_3[x]/(x^2 + c) is a field.
A. 0
B. 1
C. 2
D. 3",B
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Statement 1 | If aH is an element of a factor group, then |aH| divides |a|. Statement 2 | If H and K are subgroups of G then HK is a subgroup of G.
A. True, True
B. False, False
C. True, False
D. False, True",B
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Statement 1 | Every element of a group generates a cyclic subgroup of the group. Statement 2 | The symmetric group S_10 has 10 elements.
A. True, True
B. False, False
C. True, False
D. False, True",C
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Statement 1| Every function from a finite set onto itself must be one to one. Statement 2 | Every subgroup of an abelian group is abelian.
A. True, True
B. False, False
C. True, False
D. False, True",A
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Find the characteristic of the ring 2Z.
A. 0
B. 3
C. 12
D. 30",A
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.
A. 0
B. 4
C. 2
D. 6",B
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.
A. 8
B. 2
C. 24
D. 120",C
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5
A. 0
B. 1
C. 0,1
D. 0,4",D
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.
A. True, True
B. False, False
C. True, False
D. False, True",B
"The following is a multiple choice question (with answers). Give your answer with a single letter corresponding to the correct answer.
Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].
A. 2x^2 + 5
B. 6x^2 + 4x + 6
C. 0
D. x^2 + 1",B
