model_id,dataset_id,prompt_id,subset_id,input_type,layer,fold,direction_optimal_cut,direction_optimal_train_set_cut,direction_test_roc_auc,direction_accuracy_score,direction_f1_score,direction_precision_score,direction_recall_score,logistic_regression_optimal_cut,logistic_regression_optimal_train_set_cut,logistic_regression_test_roc_auc,logistic_regression_accuracy_score,logistic_regression_f1_score,logistic_regression_precision_score,logistic_regression_recall_score
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,0,-0.17859238386154175,-0.17859238386154175,0.5713948902606311,0.5810185185185185,0.6499032882011605,0.5581395348837209,0.7777777777777778,0.5,0.4861784717832383,0.566593792866941,0.5486111111111112,0.5063291139240507,0.5586592178770949,0.46296296296296297
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,1,-0.15532445907592773,-0.15532445907592773,0.5465142598460843,0.5159574468085106,0.6077586206896551,0.5108695652173914,0.75,0.5,0.5247789576444886,0.583465368945224,0.574468085106383,0.5959595959595959,0.5673076923076923,0.6276595744680851
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,2,-0.2774543762207031,-0.2774543762207031,0.570341291459702,0.5316455696202531,0.6185567010309279,0.5217391304347826,0.759493670886076,0.5,0.5005975240427635,0.5730652139080277,0.5759493670886076,0.5732484076433121,0.5769230769230769,0.569620253164557
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,3,-0.13038599491119385,-0.13038599491119385,0.5892180886611718,0.5796019900497512,0.6515463917525773,0.5563380281690141,0.7860696517412935,0.5,0.5362747620038892,0.5826588450780921,0.572139303482587,0.5804878048780487,0.569377990430622,0.5920398009950248
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,0,4,-0.20453937351703644,-0.20453937351703644,0.5291562522749884,0.5221674876847291,0.6150793650793651,0.5149501661129569,0.7635467980295566,0.5,0.4960782082041384,0.5609454245431823,0.5492610837438424,0.5590361445783133,0.5471698113207547,0.5714285714285714
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,0,-0.2825355529785156,-0.2825355529785156,0.6024734224965707,0.5601851851851852,0.62890625,0.543918918918919,0.7453703703703703,0.5,0.48682055149094833,0.5900420096021948,0.5740740740740741,0.5422885572139303,0.5860215053763441,0.5046296296296297
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,1,-0.2694786489009857,-0.2694786489009857,0.5383657763693979,0.5132978723404256,0.6081370449678801,0.5089605734767025,0.7553191489361702,0.5,0.46253984470481896,0.6138241285649615,0.5904255319148937,0.5815217391304348,0.5944444444444444,0.5691489361702128
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,2,-0.4246233403682709,-0.4246233403682709,0.5713827912193559,0.5348101265822784,0.6240409207161125,0.5236051502145923,0.7721518987341772,0.5,0.4839726379348368,0.6597900977407467,0.6360759493670886,0.6204620462046204,0.6482758620689655,0.5949367088607594
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,3,-0.026877187192440033,-0.026877187192440033,0.5926585975594664,0.5845771144278606,0.5570291777188329,0.5965909090909091,0.5223880597014925,0.5,0.494617550265113,0.6524838494096681,0.6318407960199005,0.616580310880829,0.6432432432432432,0.5920398009950248
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,1,4,-0.2901662588119507,-0.2901662588119507,0.5396636657040937,0.5344827586206896,0.615071283095723,0.5243055555555556,0.7438423645320197,0.5,0.527127020183581,0.6146715523308015,0.5812807881773399,0.575,0.583756345177665,0.5665024630541872
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,0,-0.045661479234695435,-0.045661479234695435,0.610832475994513,0.5879629629629629,0.5459183673469388,0.6079545454545454,0.49537037037037035,0.5,0.44083871167532107,0.6542781207133059,0.6111111111111112,0.6037735849056604,0.6153846153846154,0.5925925925925926
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,1,-0.028725450858473778,-0.028725450858473778,0.5454674060660932,0.5531914893617021,0.5116279069767442,0.5641025641025641,0.46808510638297873,0.5,0.5112185682382998,0.6748811679492983,0.6436170212765957,0.6318681318681318,0.6534090909090909,0.6117021276595744
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,2,-0.5085691213607788,-0.5085691213607788,0.5789937510014421,0.5474683544303798,0.6166219839142091,0.5348837209302325,0.7278481012658228,0.5,0.4890506714662079,0.7032927415478288,0.6582278481012658,0.6326530612244898,0.6838235294117647,0.5886075949367089
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,3,-0.11202000081539154,-0.11202000081539154,0.5999108932947204,0.5870646766169154,0.5631578947368421,0.5977653631284916,0.5323383084577115,0.5,0.4846986803231598,0.6803049429469568,0.6467661691542289,0.6485148514851485,0.645320197044335,0.6517412935323383
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,2,4,-0.42990025877952576,-0.42990025877952576,0.5464340314009075,0.5221674876847291,0.6056910569105691,0.5155709342560554,0.7339901477832512,0.5,0.5231359486620607,0.6367541071125239,0.6157635467980296,0.6,0.6256684491978609,0.5763546798029556
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,3,0,-0.030353019014000893,-0.030353019014000893,0.625139317558299,0.6180555555555556,0.5623342175066313,0.6583850931677019,0.49074074074074076,0.5,0.4166862742769495,0.676204561042524,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,3,1,0.00915570929646492,0.00915570929646492,0.5557378904481666,0.5611702127659575,0.5299145299145299,0.5705521472392638,0.4946808510638298,0.5,0.5276535205660562,0.6542553191489362,0.6223404255319149,0.6120218579234973,0.6292134831460674,0.5957446808510638
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,3,2,0.09177447855472565,0.09177447855472565,0.5790738663675693,0.560126582278481,0.5190311418685121,0.5725190839694656,0.47468354430379744,0.5,0.4971841122771156,0.7077391443678898,0.6740506329113924,0.6555183946488294,0.6950354609929078,0.620253164556962
llama3.1_8b_chat,birth_years_4k,base,main,prompt_answer,3,3,-0.11121451109647751,-0.11121451109647751,0.6065938961906884,0.6044776119402985,0.6015037593984962,0.6060606060606061,0.5970149253731343,0.5,0.43888622055055126,0.7025321155416945,0.6492537313432836,0.6535626535626535,0.6456310679611651,0.6616915422885572
