model_id_train,dataset_id_train,prompt_id_train,subset_id_train,input_type_train,model_id_test,dataset_id_test,prompt_id_test,subset_id_test,input_type_test,layer,n_samples,fold,classifier_cut,optimal_train_set_cut,test_roc_auc,train_accuracy_score,test_accuracy_score,train_f1_score,test_f1_score,train_precision_score,test_precision_score,train_recall_score,test_recall_score
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,0,0.0,-2.9623029232025146,0.8635965601726152,0.665478515625,0.7828442437923251,0.7005289155046553,0.7894967177242889,0.7583041544430775,0.7538654408692018,0.6509341998375304,0.8286632981166743
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,1,0.0,-3.300870418548584,0.8634289685920737,0.6669921875,0.7731376975169301,0.700903429523726,0.7923982648213179,0.7577999051683262,0.71996996996997,0.6519539854776862,0.8810289389067524
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,2,0.0,-3.874276876449585,0.8632850274048932,0.66689453125,0.7532731376975169,0.6985817169619583,0.7833498513379584,0.7516877436531331,0.6889818688981869,0.6524843182568505,0.9076711070280202
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,3,0.0,-1.3437227010726929,0.8640601894355732,0.666552734375,0.7036117381489841,0.7028156142564951,0.757614916005169,0.7542147293700089,0.6333333333333333,0.6579751476879201,0.9425815342214056
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,4,0.0,-0.11603260040283203,0.8640389856346288,0.669384765625,0.7243792325056433,0.7037409757164734,0.7682672233820459,0.7524326347305389,0.6545924967658473,0.6609681926522561,0.9297197978870004
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,5,0.0,-4.004934310913086,0.8636544628598095,0.6689453125,0.7796839729119639,0.7007679406832024,0.7892008639308855,0.7501653595388831,0.7448022829188748,0.6574741200828157,0.8392282958199357
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,6,0.0,-1.5772051811218262,0.863556599163143,0.6685546875,0.7889390519187359,0.7012323943661972,0.7883178628028074,0.7549279757391963,0.7772321428571428,0.6546679815910585,0.7997243913642628
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,7,0.0,-3.7269465923309326,0.8636750550126499,0.6674072265625,0.7891647855530474,0.6978240134862365,0.7862700228832952,0.7495473172591252,0.7834017327861377,0.6527783541519692,0.7891593936610014
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,8,0.0,-0.7221290469169617,0.8638923939723302,0.6678955078125,0.7762979683972911,0.6985217526207309,0.7941848390446521,0.7460941198750118,0.7247915087187263,0.6566523605150214,0.8782728525493799
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,birth_years_4k,base,main,prompt_only,44,40960,9,0.0,-1.8328025341033936,0.8641848637074724,0.666552734375,0.7011286681715576,0.7013077898788436,0.7561694290976059,0.7483082092686797,0.6311097448509069,0.6598625457837771,0.9430408819476344
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,cities_10k,base,main,prompt_only,44,40960,0,0.0,-2.9623029232025146,0.8756325437389012,0.665478515625,0.7571113782051282,0.7005289155046553,0.8282456264607975,0.7583041544430775,0.7228334775621214,0.6509341998375304,0.9696517412935324
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,cities_10k,base,main,prompt_only,44,40960,1,0.0,-3.300870418548584,0.8765048052604958,0.6669921875,0.749198717948718,0.700903429523726,0.8241573033707865,0.7577999051683262,0.7147381242387333,0.6519539854776862,0.9731343283582089
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,cities_10k,base,main,prompt_only,44,40960,2,0.0,-3.874276876449585,0.8772469216889753,0.66689453125,0.7428886217948718,0.6985817169619583,0.8212520019497249,0.7516877436531331,0.7078381946945145,0.6524843182568505,0.9779436152570481
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,cities_10k,base,main,prompt_only,44,40960,3,0.0,-1.3437227010726929,0.8784529552540787,0.666552734375,0.7294671474358975,0.7028156142564951,0.814453527512537,0.7542147293700089,0.695203471326375,0.6579751476879201,0.9830845771144279
deepseek_qwen_32b,trivia_qa_2_60k,base,main,prompt_only,deepseek_qwen_32b,cities_10k,base,main,prompt_only,44,40960,4,0.0,-0.11603260040283203,0.8773655118439165,0.669384765625,0.7564102564102564,0.7037409757164734,0.827835197508141,0.7524326347305389,0.7222084980237155,0.6609681926522561,0.9696517412935324
